Feature,H1 - Coefficient - 1,H2 - Coefficient - 1,H3 - Coefficient - 1,H4 - Coefficient - 1,H5 - Coefficient - 1,H6 - Coefficient - 1,H7 - Coefficient - 1,H8 - Coefficient - 1,H9 - Coefficient - 1,H10 - Coefficient - 1,H11 - Coefficient - 1,H12 - Coefficient - 1,H13 - Coefficient - 1,H14 - Coefficient - 1,H15 - Coefficient - 1,H16 - Coefficient - 1,H17 - Coefficient - 1,H18 - Coefficient - 1,H19 - Coefficient - 1,H20 - Coefficient - 1,H21 - Coefficient - 1,H22 - Coefficient - 1,H23 - Coefficient - 1,H24 - Coefficient - 1,H1 - Coefficient - 2,H2 - Coefficient - 2,H3 - Coefficient - 2,H4 - Coefficient - 2,H5 - Coefficient - 2,H6 - Coefficient - 2,H7 - Coefficient - 2,H8 - Coefficient - 2,H9 - Coefficient - 2,H10 - Coefficient - 2,H11 - Coefficient - 2,H12 - Coefficient - 2,H13 - Coefficient - 2,H14 - Coefficient - 2,H15 - Coefficient - 2,H16 - Coefficient - 2,H17 - Coefficient - 2,H18 - Coefficient - 2,H19 - Coefficient - 2,H20 - Coefficient - 2,H21 - Coefficient - 2,H22 - Coefficient - 2,H23 - Coefficient - 2,H24 - Coefficient - 2,H1 - Coefficient - 3,H2 - Coefficient - 3,H3 - Coefficient - 3,H4 - Coefficient - 3,H5 - Coefficient - 3,H6 - Coefficient - 3,H7 - Coefficient - 3,H8 - Coefficient - 3,H9 - Coefficient - 3,H10 - Coefficient - 3,H11 - Coefficient - 3,H12 - Coefficient - 3,H13 - Coefficient - 3,H14 - Coefficient - 3,H15 - Coefficient - 3,H16 - Coefficient - 3,H17 - Coefficient - 3,H18 - Coefficient - 3,H19 - Coefficient - 3,H20 - Coefficient - 3,H21 - Coefficient - 3,H22 - Coefficient - 3,H23 - Coefficient - 3,H24 - Coefficient - 3,H1 - Coefficient - 4,H2 - Coefficient - 4,H3 - Coefficient - 4,H4 - Coefficient - 4,H5 - Coefficient - 4,H6 - Coefficient - 4,H7 - Coefficient - 4,H8 - Coefficient - 4,H9 - Coefficient - 4,H10 - Coefficient - 4,H11 - Coefficient - 4,H12 - Coefficient - 4,H13 - Coefficient - 4,H14 - Coefficient - 4,H15 - Coefficient - 4,H16 - Coefficient - 4,H17 - Coefficient - 4,H18 - Coefficient - 4,H19 - Coefficient - 4,H20 - Coefficient - 4,H21 - Coefficient - 4,H22 - Coefficient - 4,H23 - Coefficient - 4,H24 - Coefficient - 4,H1 - Coefficient - 5,H2 - Coefficient - 5,H3 - Coefficient - 5,H4 - Coefficient - 5,H5 - Coefficient - 5,H6 - Coefficient - 5,H7 - Coefficient - 5,H8 - Coefficient - 5,H9 - Coefficient - 5,H10 - Coefficient - 5,H11 - Coefficient - 5,H12 - Coefficient - 5,H13 - Coefficient - 5,H14 - Coefficient - 5,H15 - Coefficient - 5,H16 - Coefficient - 5,H17 - Coefficient - 5,H18 - Coefficient - 5,H19 - Coefficient - 5,H20 - Coefficient - 5,H21 - Coefficient - 5,H22 - Coefficient - 5,H23 - Coefficient - 5,H24 - Coefficient - 5
Last Closing Gas Price [GBpence/therm]_standardized,0.03252947425641192,0.09491315544383452,0.1433147960822692,0.21702484148032686,0.38243065826010925,0.24238757547976905,0.1633654665014899,0.16054187184301785,0.09619395202267085,0.14487018779765648,0.2234153556833877,0.20300118687790822,0.06954459045304,0.2879264764483979,0.22052572670819237,-0.0,0.0,0.2914685424442231,0.4044221569612028,0.2287514503855727,0.1711391263140317,0.3064006340447977,0.33984155150755724,0.41402822877679957,0.027250160465942624,0.08772265008578131,0.16117864458322317,0.21658341518421712,0.30705303985229043,0.20031864803233815,0.16229283495763122,0.1694553595697638,0.1587963976912744,0.1781324495468457,0.3019171807225714,0.29090131936253066,0.11582298148156774,0.3229260778456869,0.2931185824896437,-0.0,0.1859320216232962,0.5269160752228506,0.6519316464002398,0.4199897825069081,0.2544221227523427,0.3777288948055092,0.39159175379082484,0.4618586631338439,0.028036033214608663,0.08895988802831996,0.16404775859614024,0.2201057890398757,0.31435408637812756,0.19753336932675297,0.15836684931224135,0.15658897927971452,0.1599653819673192,0.1762186990177079,0.27764009767473374,0.24769475598453855,0.07635255246763023,0.18612162054095205,0.028524327696907215,-0.7593459797803186,-0.30448966569719643,0.4125924797174787,0.4898619972398605,0.2955241765695423,0.2554083884371081,0.4357879709980667,0.46681954092588923,0.5399393537286097,0.024083690431971717,0.09358720076210544,0.14319485462052614,0.2187547899256558,0.2831674928618215,0.1858781081456959,0.12897640535515495,0.1977139676212305,0.2074362913983708,0.24843677758789257,0.3232810374471055,0.28405421885177595,0.11885893468522285,0.17678001248970873,0.03651480808798538,-0.5185958176732555,-0.2500202576045478,0.3997121837101403,0.49051119629941337,0.28344413669110935,0.1895011272750624,0.3944946530369506,0.4040795303358072,0.4691713776831997,0.017348372301696318,0.05731432522641573,0.07958409713091998,0.1610871728313803,0.2242319455882323,0.11916830994856015,0.08756618835936024,0.17198386801166599,0.23622165657443542,0.3175968366727938,0.3615309899369765,0.2928232923457091,0.11143140626388011,0.20184663076958645,0.21575669406833936,0.0,0.1715107746547704,0.47191441300476206,0.5267289839169933,0.3254830893585645,0.2245010497447282,0.4176674391205293,0.4570523189386132,0.49257398975563765
Day-ahead Price [GBP/MWh]_standardized d-1 h=1,0.0,0.009905855636144231,0.0,0.0,0.0,0.0,0.0,0.0,0.17617762760832054,0.1706582640644561,0.0,0.029763357313610714,0.0,0.03277956620198383,0.0,0.0,0.0,0.3724155866838021,0.34708549873824673,0.12843006175880461,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0891937215295112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.1045630375516087,0.0,0.5253417727976679,0.4689329012117352,0.20540111587634086,0.03054051252777494,0.0038375855199123668,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7119072934445102,0.47431256151840384,0.31382353983983935,0.003612244296179901,0.0,0.011228572059565357,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7590311868409704,1.2912832577665048,1.2028925786365678,0.492996278640062,0.22389826001049956,0.009989719030920038,0.003013296082288003,0.0,0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=2,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.14645472807207233,0.21933627591086574,0.1986396217902019,0.16007666043152458,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.10952583191303802,0.17381979726465469,0.1104507642860902,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.07153764429594653,0.0,0.0029752893356068287,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=3,0.0,0.0,-0.005360666014384362,-0.06634978917855751,-0.08064764838573106,-0.2153858665745498,-0.18524216273094368,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.023512049504447456,-0.06680207452228,-0.1926592170240801,-0.14353059526968384,-0.031988551900924894,-0.0,-0.0,-0.05168509353707412,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.011415527733100778,-0.05600672125542166,-0.19706275587829392,-0.14813571734784237,-0.08940371422798356,-0.004657148595934507,-0.008036837102128457,-0.07527920755135353,-0.020277832531588578,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.002508836585939621,-0.042723175120558426,-0.07874636475283668,-0.23880533892874137,-0.29050679211152164,-0.1292850238974597,-0.0940250755733769,-0.14346432958986532,-0.1986368674737046,-0.11757614783881183,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.010751775832889032,-0.0,0.0,-0.0,-0.0,0.0,-0.0018549922757602382,-0.0,-0.06488762995353223,-0.06374124131429452,-0.24639428909888905,-0.24469486092396597,-0.1579999669489487,-0.08422059744923767,-0.04252326305808203,-0.15019736876294618,-0.12674057586767248,-0.00278248351475684,-0.0,-0.0,-0.0,-0.029556914647671143,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=4,0.018692649413022944,0.0,0.0,0.0,0.0,0.0,-0.0,-0.04498512583019438,0.0,0.0,-0.0,-0.0,0.0,0.08528686723822625,0.2930393138107655,0.4143013442657611,0.4701484610624798,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.022388846576031764,0.024868905126507523,0.011915456125095317,0.0,0.0,0.0,0.0,-0.0,-0.02690685295900743,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.18573509541044494,0.3764862594315919,0.45851676158918114,0.21754765865501108,-0.0,-0.0,-0.0,-0.015885693369602542,-0.0,-0.0,0.02476864767941744,0.00984740541996234,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03947638860191961,0.14133277133241975,0.1937698569091786,0.10556724650450408,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.02142852430349228,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05076370287732268,0.2680583176012354,0.3396184148051837,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.011620088032380266,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0030091268541487825,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.02025963696259369,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=5,0.0,0.0,0.0,0.05948244954960102,0.06945407808881511,0.046397848185169024,-0.0,-0.0,0.0,0.0,0.0,0.007483074808877431,0.006007808376733647,0.0,0.0,-0.0,0.0,0.39518163441400556,0.10847095699262124,0.10147732278786596,0.1564992042293991,0.0,-0.24446941666740737,-0.25303641636445967,0.0,0.0,0.04405927525242174,0.2106133059034926,0.2760662834722277,0.18233196134005175,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.1444351464611023,-0.0,-0.2732855893422091,-0.3094036304332428,0.0,0.0,0.052898461650649035,0.20895442799706962,0.2740146810751444,0.18953323251473064,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.033835480524828154,-0.0,-0.0,0.15266605075338363,0.01695273448214563,-0.2351933784241945,-0.24482283439401842,0.0,0.0,0.09939562612748269,0.27743011299397224,0.2584813158401458,0.21646002576797124,0.16709070319906505,0.0,0.11502252049404603,0.20850682489245667,0.25434306207132745,0.16081378044492214,0.006878400294570788,0.0,0.0,-0.0,0.0,0.23707874063715706,0.0,0.0,0.09153029926423109,0.0,-0.18696191604888515,-0.2114210744868725,0.0,-0.0,0.0,0.22155619029263773,0.15233974918021168,0.187212216975086,0.0,0.0,0.1358164390429516,0.22385795952463158,0.26233469306373935,0.14087576392045426,0.01698903988351785,0.0,0.060409784713814335,0.09293470293646251,0.04919614575832446,0.20884724966152446,0.0,0.0,0.037494532176057055,0.0,-0.03269298095807891,-0.08139268787801993
Day-ahead Price [GBP/MWh]_standardized d-1 h=6,-0.0,-0.0,-0.0006104489955675379,-0.0012120199922092904,-0.0073599722417381,-0.0,-0.021140935200350073,-0.0684598647488816,-0.17822371513463922,-0.12442707406096329,-0.05181929591205636,-0.054718004789305365,-0.04806124993500023,-0.28419967040927974,-0.4136119098306193,-0.5673356185995876,-0.49841396303414226,-0.6055796023208744,-0.2930511120106329,-0.0781642724686614,-0.0,-0.0,0.0,-0.0,-0.0,-0.014492919986216884,-0.09305254063043422,-0.25060786044615374,-0.31987153443368266,-0.23772891839265775,-0.04070676743183434,-0.11893905775298765,-0.21618280601288345,-0.17252312333400469,-0.053275312084042,-0.05760114599030848,-0.07134018692374172,-0.2555225647515059,-0.41514584234773416,-0.7550517374943451,-0.715050912880462,-0.44676428142396063,-0.24912629594445118,-0.011350709376128669,0.0,-0.0,-0.0,-0.0,-0.0,-0.014511130931546498,-0.09026135362049895,-0.20011421778800517,-0.31867535526641644,-0.2238257774461894,-0.04865120741287563,-0.11330012232656765,-0.14676304435143214,-0.09520184955792965,-0.032442915127348704,-0.09960878230357582,-0.12346558660673654,-0.3187462040154627,-0.3992643743850272,-0.6739676409496711,-0.8462634391959791,-0.4827128654750709,-0.26690906062856706,-0.03234078144311173,0.0,0.01813946161365765,-0.0,-0.0,-0.0,-0.0147025320369705,-0.16239638142129173,-0.3089938175472595,-0.3012979151162575,-0.2903573579477635,-0.2648724196738594,-0.21621134386509913,-0.3483126913941545,-0.3995237424505727,-0.3986754998498216,-0.3572507386917561,-0.24354537407701757,-0.3857499937158769,-0.38970648069347674,-0.43082782771335876,-0.5237574232047493,-0.7062454236548441,-0.40879641180526427,-0.2134855548701435,-0.0,-0.0,-0.0633696387088419,-0.0611601297582106,-0.0,-0.02943891189789893,-0.06518136828488184,-0.2648807756441925,-0.25929277133670603,-0.3419312478079005,-0.14168045339793353,-0.24579351083316123,-0.3679946602745097,-0.4225224307577307,-0.4587185457167269,-0.3588279288842851,-0.25025437409969975,-0.37013549675013296,-0.12073720581975345,0.0,-0.0,-0.6162469956296996,-0.43154310460891954,-0.24826159462653427,-0.0,-0.0,-0.2807348362110252,-0.2740480299691964
Day-ahead Price [GBP/MWh]_standardized d-1 h=7,-0.007841971638754736,0.0,-0.0,-0.0,-0.2611634290247512,-0.12748045949562883,-0.032039644209157,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.01605513243610488,-0.025587769461639973,-0.0,0.0,0.0,-0.011195538787059433,0.0,-0.0,-0.0,-0.03125836871475837,-0.03091677709250694,-0.05388858107358886,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.179441338040355,0.0,-0.0,0.0,-0.0,-0.024394581219514988,-0.0,0.002291087753001611,0.0,-0.018429040520000186,0.0,-0.0,-0.0,-0.010135035942654207,-0.057976816631885156,-0.027028425908543218,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.1370463008997574,-0.0,-0.0,-0.0,-0.0,-0.0,-0.010258089924892421,0.0,0.12755944807515615,0.08593665400207172,-0.00738168804657999,0.0,-0.0,-0.0,-0.04538601849245556,-0.08309884109955207,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.05448429086929596,-0.13852045771171884,0.0,-0.0,-0.0,-0.0,-0.0,-0.11847265659739271,-0.0,0.08310642058790482,0.07560774596889701,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.07675426157158864,-0.5919079052395511,-0.07144454703885462,-0.2264659488327354,-0.1649166003749338,-0.0,-0.0,-0.10764846786323254,-0.0,0.19566657928503728,0.12719213460187814
Day-ahead Price [GBP/MWh]_standardized d-1 h=8,-0.0,0.0,0.12842939100281883,0.0,0.0,0.0,-0.0,0.0,0.05079661933061443,0.1197904936625767,0.1152909001058892,0.0,0.2024743315734631,0.0655075468651688,0.0,0.8907261097797069,0.8236035274406291,0.31953261650188125,0.281578941033146,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.012313369042709865,0.19842864295548604,0.16208802281276513,0.0,0.0,-0.0,-0.0,0.0,0.0,0.014519586541079111,0.0,0.20927995954739098,0.0,0.0,0.3056247509422944,0.6772787683190539,0.20740793672527472,0.08191274651727723,0.04247353258003641,0.0,-0.0,0.0,-0.0,-0.0,0.004160226281701708,0.2184824991380752,0.2186069667469031,0.0,0.0,-0.0,0.010854675778789607,0.1088598169708952,0.10641820999216846,0.12795715359053372,0.14158629648847415,0.2151986826895407,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.21092552330166353,0.2328809614553584,0.0,0.0,0.0,0.15825523874356537,0.23166931386896764,0.2363746157767193,0.19377994243298868,0.0,0.0,0.0,-0.0,0.0,0.12960755635730742,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.030528505404370715,0.2365055127325979,0.23828611731303653,0.0,0.0,0.0,0.19875281992744565,0.2297027164261941,0.2070863027384556,0.26523514290388234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=9,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0032416108017808603,0.0,0.023585841029886374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30128066592404007,0.1785795251617595,0.015676447225149232,-0.0,-0.09757638929059562,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01047690440233072,0.0,0.0,-0.03891463509225364,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36378770127206206,0.13274691999454627,0.0,0.0,0.0,0.021011759179806376,0.0,-0.0,-0.05121328485300266,-0.0014525158896579865,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19220875432451504,0.47722520580504246,0.0,0.0,0.8471411087807347,0.30168268918335855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27915084177281685,0.4692263858992153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002284654766585968,0.01360965003905713,0.0,0.0
