Feature,H1 - Coefficient - 1,H2 - Coefficient - 1,H3 - Coefficient - 1,H4 - Coefficient - 1,H5 - Coefficient - 1,H6 - Coefficient - 1,H7 - Coefficient - 1,H8 - Coefficient - 1,H9 - Coefficient - 1,H10 - Coefficient - 1,H11 - Coefficient - 1,H12 - Coefficient - 1,H13 - Coefficient - 1,H14 - Coefficient - 1,H15 - Coefficient - 1,H16 - Coefficient - 1,H17 - Coefficient - 1,H18 - Coefficient - 1,H19 - Coefficient - 1,H20 - Coefficient - 1,H21 - Coefficient - 1,H22 - Coefficient - 1,H23 - Coefficient - 1,H24 - Coefficient - 1,H1 - Coefficient - 2,H2 - Coefficient - 2,H3 - Coefficient - 2,H4 - Coefficient - 2,H5 - Coefficient - 2,H6 - Coefficient - 2,H7 - Coefficient - 2,H8 - Coefficient - 2,H9 - Coefficient - 2,H10 - Coefficient - 2,H11 - Coefficient - 2,H12 - Coefficient - 2,H13 - Coefficient - 2,H14 - Coefficient - 2,H15 - Coefficient - 2,H16 - Coefficient - 2,H17 - Coefficient - 2,H18 - Coefficient - 2,H19 - Coefficient - 2,H20 - Coefficient - 2,H21 - Coefficient - 2,H22 - Coefficient - 2,H23 - Coefficient - 2,H24 - Coefficient - 2,H1 - Coefficient - 3,H2 - Coefficient - 3,H3 - Coefficient - 3,H4 - Coefficient - 3,H5 - Coefficient - 3,H6 - Coefficient - 3,H7 - Coefficient - 3,H8 - Coefficient - 3,H9 - Coefficient - 3,H10 - Coefficient - 3,H11 - Coefficient - 3,H12 - Coefficient - 3,H13 - Coefficient - 3,H14 - Coefficient - 3,H15 - Coefficient - 3,H16 - Coefficient - 3,H17 - Coefficient - 3,H18 - Coefficient - 3,H19 - Coefficient - 3,H20 - Coefficient - 3,H21 - Coefficient - 3,H22 - Coefficient - 3,H23 - Coefficient - 3,H24 - Coefficient - 3,H1 - Coefficient - 4,H2 - Coefficient - 4,H3 - Coefficient - 4,H4 - Coefficient - 4,H5 - Coefficient - 4,H6 - Coefficient - 4,H7 - Coefficient - 4,H8 - Coefficient - 4,H9 - Coefficient - 4,H10 - Coefficient - 4,H11 - Coefficient - 4,H12 - Coefficient - 4,H13 - Coefficient - 4,H14 - Coefficient - 4,H15 - Coefficient - 4,H16 - Coefficient - 4,H17 - Coefficient - 4,H18 - Coefficient - 4,H19 - Coefficient - 4,H20 - Coefficient - 4,H21 - Coefficient - 4,H22 - Coefficient - 4,H23 - Coefficient - 4,H24 - Coefficient - 4,H1 - Coefficient - 5,H2 - Coefficient - 5,H3 - Coefficient - 5,H4 - Coefficient - 5,H5 - Coefficient - 5,H6 - Coefficient - 5,H7 - Coefficient - 5,H8 - Coefficient - 5,H9 - Coefficient - 5,H10 - Coefficient - 5,H11 - Coefficient - 5,H12 - Coefficient - 5,H13 - Coefficient - 5,H14 - Coefficient - 5,H15 - Coefficient - 5,H16 - Coefficient - 5,H17 - Coefficient - 5,H18 - Coefficient - 5,H19 - Coefficient - 5,H20 - Coefficient - 5,H21 - Coefficient - 5,H22 - Coefficient - 5,H23 - Coefficient - 5,H24 - Coefficient - 5
Last Closing Gas Price [GBpence/therm]_standardized,0.0027459153813256696,0.02350313630156337,0.0544419081279175,0.07279461477252837,0.059239375797664494,0.04435107858134186,0.038349669852694564,0.010169433152857286,-0.004356326291998408,0.0,0.0286041505242491,0.04456364979266746,0.046128739894542345,0.05759730666590241,0.10611144219527663,0.20344375258124311,0.20876887582706832,0.16878270008181723,0.13824547853557376,0.11299636450329152,0.09052438264667702,0.10329928573508947,0.10667891495993582,0.10319168862853523,0.0021734296474538737,0.020897615643472738,0.05023846690040081,0.06978502789085068,0.05886076297735764,0.04476860634301884,0.03685099791743576,0.006400262795228353,-0.008608428034136223,-0.0,0.025691946364251858,0.04193126533326335,0.0446103340655763,0.05544901341160457,0.09799928802372637,0.20060041112441698,0.21735275815370417,0.16818225091004102,0.13930067828380352,0.1125712982178899,0.09061154931422206,0.10355215909243419,0.10423767090701451,0.10126048452533638,0.0020082490920311233,0.02008588682515296,0.050294533649503724,0.07078443697486228,0.061829787054505835,0.04972900979613104,0.03818530232953551,0.006675576842098421,-0.009018267192428249,-0.0,0.024552178180423892,0.04052757222959467,0.04372144518525642,0.05542414283349492,0.09737784072204375,0.19978364143802174,0.2170776950397617,0.16628862715087311,0.13875282448126947,0.11328638833377246,0.09169444536655721,0.10453380271125912,0.10459035656310602,0.10079969322113644,0.00216998302227744,0.020452639874500037,0.05034541964652738,0.07106144749908994,0.06176175299292718,0.04953681613383564,0.039508996741008634,0.008117429851976419,-0.008200874441465712,-0.0,0.027650600886189796,0.04120826579570367,0.04469207815588099,0.06075471774835198,0.09725936680756163,0.18270921508457763,0.19672648591475897,0.16490053997286963,0.13882332786760213,0.11431724688061286,0.09234608319848246,0.10458611488478704,0.10482270963759234,0.10208182741990691,0.0019341096473294286,0.0199157050007808,0.04998333260204078,0.07203370851513399,0.06331485436041061,0.049587033079487766,0.03661172006667604,0.004110767251929084,-0.011487764929558655,-0.0014070402304167328,0.024907146439485512,0.038587215196684455,0.04183084021903501,0.05862719742463191,0.09557897838727261,0.17024647895206355,0.18050396742823208,0.157614832454629,0.1368520830832534,0.11349462619324374,0.09202915751576186,0.10799930783410396,0.10632024009980176,0.1039346988452679
Day-ahead Price [GBP/MWh]_standardized d-1 h=1,0.0,-0.0,-0.0395498300303233,-0.1181086635838337,-0.0,0.0,-0.032263904150858204,-0.08033820504244699,-0.13323243016086797,-0.0,-0.0,-0.0,-0.0,-0.07244065085618968,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.03690143859227303,-0.11790752125136517,-0.0,0.0,-0.032119654103662854,-0.08922767103393772,-0.13398316759476192,-0.0,-0.0,-0.0,-0.0,-0.06802856838353623,-0.0,0.0,-0.0,-0.003998385315377768,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.037250516654558426,-0.11652877157024143,-0.0,0.0,-0.033059702804708706,-0.08888613074058367,-0.13946085571507685,-0.0,-0.0,-0.0,-0.0,-0.0670088835674411,-0.0,0.0,-0.0,-0.006217325242794249,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.039840563231920985,-0.11454723403696786,-0.0,0.0,-0.03568072635673424,-0.0893269349355724,-0.12029072842173381,-0.0,-0.0,-0.0,-0.0,-0.030646803029271058,-0.0,0.0,-0.0,-0.033163843176583184,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.041317161908120445,-0.11447304468132385,-0.0,0.0,-0.033083091894069876,-0.0884658303627631,-0.12086297539906532,-0.0,-0.0,-0.0,-0.0,-0.025124561862638232,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=2,0.0,0.04091263360988056,0.0,-0.0,-0.07173649996621162,0.0,-0.0,-0.0,-0.002928568167558518,-0.012827500939773683,-0.0,-0.0,0.0,-0.0,0.0,0.23340819906635446,0.11973703847005839,0.0,0.0010551298162066076,0.0,0.0,0.0,0.02779631464873698,0.02482129978597053,0.0,0.04450832378500979,0.0,-0.0,-0.07057486403240562,0.0,-0.0,-0.0,-0.0,-0.005482079342664359,-0.0,-0.0,0.0,-0.0,0.0,0.1311309855716009,0.0,0.0,0.0,0.0,0.0,0.0,0.02573606606484832,0.023959043493655983,0.0,0.036405704524263074,0.0,-0.0,-0.05097952067582284,-0.0,-0.0,-0.0,-0.0,-0.010070819448954445,-0.0,-0.0,0.0,-0.0,0.0,0.12356461793691915,0.0,0.0,0.0,0.0,0.0,0.0,0.02475583775749757,0.02615937992246105,0.0,0.039588331295265004,0.0,-0.0,-0.054845741059992355,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.004080970690339758,0.0,0.0,0.0,0.0,0.0,0.0,0.023067486333101215,0.030316013458444677,0.0,0.03746416155295865,0.0,-0.0,-0.05503367716379178,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.046829016439216116,0.0,0.0,0.0,0.0,0.0,0.0,0.02124961786750945,0.024522426635738122
Day-ahead Price [GBP/MWh]_standardized d-1 h=3,0.017492568192481912,0.0327089900357682,0.05825141775277103,-0.0,-0.02400105814498067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24086152117939094,0.17776282342072994,0.0,0.389215151069671,0.35636401834815884,0.24922893225404852,0.14004431415041058,0.055070297689342386,0.07124156830688538,0.04190563156466749,0.01768539659145555,0.017124523863606602,0.027375027649773044,0.05698749403550125,-0.0,-0.028740841321801668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23632531561136672,0.19570607370834575,0.07818129063503283,0.4846600396710432,0.33349376600773556,0.24872714246294475,0.15271216055311204,0.055802724647620684,0.07198391016580517,0.0522880951980302,0.023141452681538794,0.015506333295492196,0.033691666706947,0.05732898560331957,-0.0,-0.06002181369413429,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2284031194339202,0.1674629150400334,0.06860449969061488,0.4964288879754891,0.3442088458833912,0.23210595411578544,0.14268086131737304,0.04920286911330346,0.0693543810585487,0.05115190998610269,0.01759003999737028,0.015402819190486678,0.032823530900334755,0.06207547380044003,-0.0,-0.04881348983257174,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21990664249833303,0.16089929089571606,0.12402707555238102,0.440174792734135,0.347644049775496,0.23261857311890358,0.14864380990891288,0.05299753803362135,0.06786676220765064,0.05141040958739145,0.01344005421106135,0.015158040634234744,0.035871489054115115,0.06646161317843861,-0.0,-0.05706309583922669,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22184703867092967,0.14972477803097015,0.03295982902116774,0.3856453748609943,0.3501918592553698,0.23288484152132577,0.14895520980867255,0.054127879527732015,0.0667086449163468,0.05079814164366372,0.019448071843264015
Day-ahead Price [GBP/MWh]_standardized d-1 h=4,0.0,0.0,0.02821147409800234,0.1874881199976373,0.1882525201193427,0.0,0.0,0.07433834645528141,0.18576983435712796,0.19146366715714072,0.15979280734718293,0.21670903586831655,0.2791249495640211,0.07315086887979977,0.1974154517525192,0.43697776834110663,0.10995542181776771,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.031033737496288155,0.1877999285427608,0.19084170033845815,0.0,0.0,0.08192198985395907,0.18480069847660482,0.17867167685936064,0.15159036449948046,0.21520433748457352,0.2731068476018833,0.06839272986491952,0.1591406783570351,0.37674679624221147,0.022814111150919445,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.029255746780834146,0.1854390647873356,0.1938764592218871,0.0,0.0,0.07663510013141127,0.18958439433593552,0.17640508061063587,0.1549692995311459,0.21993424126674718,0.276481602732164,0.07303165582533962,0.17519904867767544,0.3767916603940274,0.029831624085610072,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.025678743735011205,0.17960049943103035,0.1825031202867083,0.0,0.0,0.06344091308052634,0.17506730926309455,0.19098687883753726,0.1710392543486754,0.23395922737724667,0.2855861541264171,0.088863178482617,0.18945599231480573,0.3710143682191002,0.06814299970896906,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.021090318459251592,0.1808039353073197,0.19315689645647005,0.0,0.0,0.07836242516221655,0.19211955812840698,0.1982668399394291,0.1746205223416374,0.23821910572379162,0.2897837951313731,0.08373888181070553,0.19616098077120375,0.4732996570474172,0.17754178928311756,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=5,-0.0,-0.006772736961640353,0.0,0.0,-0.0,-0.0,-0.10680250063342225,-0.15249133120798702,-0.28132998158845957,-0.2971889955959717,-0.24291196663887207,-0.27295228162837315,-0.34475720637791396,-0.24694191363130855,-0.360660355555057,-0.6588617137886129,-0.4955340935655128,-0.2616436529356064,-0.238399845885187,-0.13087920088009267,-0.04172864249224788,-0.08919895374704874,-0.033022737114633674,-0.0,-0.0,-0.003452839007786509,0.0,0.0,-0.0,-0.0,-0.10305397973453069,-0.15132952876468647,-0.27332401305524867,-0.2852540123960727,-0.23359168986062873,-0.26867943623005935,-0.33901010456929603,-0.23869842346393394,-0.3240696332321871,-0.6232271933903824,-0.443770701524613,-0.2539745971677083,-0.2381664312189277,-0.13431724975676834,-0.04196886111109597,-0.0902308676917452,-0.04059499383017108,-0.0,-0.0,-0.009238326839832217,0.0,0.0,-0.0,-0.022614539318626795,-0.11693501650678081,-0.15087055322783882,-0.2882870404808463,-0.28712194229178883,-0.23971974888616196,-0.2773267510537155,-0.3427095589960531,-0.2427900839979913,-0.34049615129869926,-0.6232200489446212,-0.4443052275478042,-0.2591648656506295,-0.23776738779472736,-0.13439939142323706,-0.04197855147445227,-0.10065451721065734,-0.04707601761632862,-0.0,-0.0,-0.011884538169119874,0.0,0.0,-0.0,-0.011325190409769396,-0.10176045328789872,-0.11814914066687585,-0.2552244545085694,-0.30230333506655976,-0.25733496706773146,-0.29339705609996675,-0.3519691090280539,-0.2566016214519995,-0.3459102823508841,-0.6056463165893106,-0.45302915919677184,-0.26095775150117645,-0.23811918125479098,-0.13712703052328054,-0.04378705427722696,-0.091767335652328,-0.042258777251421374,-0.0,-0.0,-0.01382438070465568,0.0,0.0,-0.0,-0.015655635280505144,-0.11650879003470525,-0.16614383612010922,-0.28984082341191425,-0.3169192913591326,-0.2665050336255434,-0.30393854859938113,-0.3667399527235201,-0.2581083732497117,-0.31727641249465516,-0.6224590062617228,-0.4800351799360744,-0.25434514435775724,-0.237123939984086,-0.1415119996535539,-0.04629653379334104,-0.08228919753364305,-0.029415828285234744,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=6,-0.0,-0.010533227810244657,-0.034659826574196986,-0.04123413447924346,-0.029228795008254888,-0.07095063251256177,-0.07160012290903281,-0.18227492025605105,-0.09834628734657348,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.027629869988597063,-0.16446198052911953,-0.20217964079886747,-0.0,-0.018751928261272064,-0.04392800038638602,-0.04384295286626128,-0.029665716117244164,-0.07305863079775321,-0.085827543781246,-0.19254012524414277,-0.1137347843403875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.012287250679385329,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.025996226910771438,-0.16025362954071162,-0.2086343182580056,-0.0,-0.009839937396706775,-0.042260992539885904,-0.04024660100754732,-0.01302504286628805,-0.034005351523583326,-0.061807698773417866,-0.19047778568726703,-0.09579785458210428,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.009879313304945174,-0.1505272491258157,-0.20670237495332244,-0.0,-0.0073073352785254855,-0.04087464586738772,-0.02836300766133255,-0.0004174630106974569,-0.05723071158954447,-0.09443200213083836,-0.23940042824484883,-0.14391450363795263,-0.0,-0.0,-0.0,-0.0,-0.0,-0.008451917593536057,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.027250496528927685,-0.16216031180968868,-0.21049389029015173,-0.0,-0.007409894896497631,-0.040584515419746045,-0.026251312324591578,-0.0,-0.05354526861964563,-0.0932143438722549,-0.2003716204844973,-0.11869858677193161,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03373721289678873,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03304502397735039,-0.167502499969965,-0.20437347624088353
Day-ahead Price [GBP/MWh]_standardized d-1 h=7,-0.0,0.0,-0.0,-0.0,0.0,0.18647338503374966,0.22909582579474638,0.21260868234746555,0.16780782763699645,0.11603950303237151,0.1150908506152173,0.09925803136015306,0.10971161390362844,0.060491034152196324,0.04289484588456236,0.29986503248956303,0.277818807469404,0.001296286940563222,-0.0,-0.06817702164871912,-0.11775924210428575,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.19416059397403754,0.24844813924713874,0.2162913618835523,0.17317389744300027,0.09383076396836315,0.10648766873425448,0.09438782346127554,0.10164398620532705,0.0344716566650252,0.0,0.2856107410900708,0.2706576864082567,0.0,-0.0,-0.0616680324696566,-0.11717544000795062,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.20183704901269284,0.258254548038058,0.2237645711758438,0.1627164274035211,0.10362181834387264,0.10661715429207956,0.10263788308489817,0.10370690014613303,0.039372389505651105,0.011276924096283348,0.29124292164047244,0.24673749129446554,0.0,0.0,-0.05490725884547219,-0.1100610955903995,-0.003944372293327625,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.20207479244137466,0.24529387418764997,0.21548296128501998,0.14640669821700714,0.051275194982879385,0.07746658398312767,0.08101011908213415,0.07492261057507262,0.0,0.0,0.3037785404830333,0.26169531068115376,0.0,0.0,-0.06447723236350203,-0.11923516069861813,-0.004947587269290426,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.2028372548220268,0.2517210398640705,0.19592429422421084,0.1303378796454625,0.06700694942193242,0.07870346751054956,0.083529165796499,0.07729669327984118,0.0,0.0,0.26309279555963067,0.23211352719692785,0.0,-0.0,-0.06916670088641957,-0.11634991634277735,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=8,-0.0,0.0,0.0,0.012847077320027333,0.09803776482047553,0.1475868676970116,0.1318294441061425,0.1780534934421447,0.12453937100879688,0.050668261242272104,0.0,0.0,0.0,0.07070425742497369,0.1505531093705275,0.0,0.11332265631683715,0.33559203167060403,0.19173131653993314,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.009503917837564354,0.10000908464376526,0.14039451358277139,0.11566598514394104,0.1716473894225812,0.12275693626922325,0.07210819973098286,0.0,0.0,0.0,0.10201012157148032,0.20538754057602385,0.0,0.13167421994630346,0.33794754473666994,0.19438629384326686,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0057283519537562055,0.06341439440488825,0.10892515286998983,0.08161907165128708,0.16443482285031383,0.1305567617252708,0.05778799699738184,0.0,0.0,0.0,0.10238813473097914,0.19357736637818004,0.0,0.1562269179213929,0.3461223864340973,0.194966346092572,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0009030805850433676,0.06077845433303839,0.11638646429981368,0.10695864697960063,0.18798058746198126,0.1617076206672694,0.1177414402134664,0.0,0.0,0.0,0.13927702597629601,0.20512614243276234,0.0,0.14885386432866524,0.3434976420916881,0.1944065564431294,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0022675898182403158,0.06034309024519483,0.11620351723975055,0.11199513472129324,0.20027176535293917,0.16804794133925968,0.08492490561760854,0.0,0.0,0.0,0.13610522123557095,0.1920311309591792,0.0,0.10995898017053271,0.307159996274215,0.1790788528908247,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=9,-0.0,0.0,0.04738231307717347,0.02949778124608477,-0.0,-0.12254481175871072,-0.0,0.0,0.0,0.0,0.0,0.0,0.01095011175798945,0.0,-0.0,-0.049254880626214935,-0.0,-0.0,0.15913928138738542,0.3886992189278793,0.3858208600913637,0.23222853246730543,0.1865455703509085,0.11907121528043109,-0.0,0.0,0.057285017359400184,0.04048819601233852,-0.0,-0.12362511611900528,-0.0,0.0,0.0,0.0,0.007598449405819213,0.0,0.028426190598109642,0.0,0.0,-0.0,-0.0,-0.0,0.1547941639380249,0.37652303379275465,0.385460480128456,0.23084943380708642,0.1771060055463105,0.11659479309991896,-0.0,0.0,0.05924007425500224,0.03177606839420399,-0.0,-0.13994664650009284,-0.0,0.0,0.0,0.02389137407112054,0.03831080146091463,0.0,0.0461629012345204,0.0,0.0,-0.004238435041791663,-0.0,-0.0,0.16519339629041171,0.37232715721949905,0.38281219049879034,0.2322935981822247,0.17852717007074032,0.1169654381051547,-0.0,0.0,0.0596114442336336,0.031030669079055544,-0.0,-0.13981673388469695,-0.0,0.0,0.0,0.011172987042314505,0.09133811820538136,0.0196245899066484,0.07803168432136023,0.0,0.0,-0.013364287700755628,-0.0,-0.0,0.1660571231573978,0.382924685474134,0.39208352334930874,0.24285042762247833,0.18556923054599733,0.12254657069183972,-0.0,0.0,0.060266482944217936,0.028368174709177164,-0.0,-0.1393289105254159,-0.0,0.0,0.0,0.035538447746004,0.08184063234951962,0.020199092239563194,0.06831900580428396,0.0,0.0,-0.08712695355892018,-0.0,-0.0,0.16818614396947631,0.38853394427481885,0.3922430871375144,0.2421387869640175,0.18313486616699454,0.11875257144932527
