Date,Actual,Predicted,Best Alpha,Dual gap,Iterations
2022-12-06,248.825,235.15394458426397,0.0004,1.4446847199794807e-05,3255
2022-12-06,247.715,239.86004306460717,0.0004,5.466247113273119e-06,5108
2022-12-06,250.0,241.36772723376754,0.0004,1.7853276805422144e-05,7433
2022-12-06,258.9,249.05244240984206,0.0004,1.8854423106531323e-05,5264
2022-12-06,292.11,264.6632506895604,0.0004,6.714779947677952e-06,5945
2022-12-06,326.435,286.6049005685728,0.0004,2.9238683422012704e-05,2989
2022-12-06,356.93000000000006,327.8221379922022,0.0004,1.1276393893919696e-05,12943
2022-12-06,382.12,363.75738737358404,0.0004,8.082088106203197e-06,15144
2022-12-06,373.57,364.41963006937647,0.0004,1.724783030987746e-05,8691
2022-12-06,353.86,364.13631699741603,0.0004,2.3915507966432965e-05,6563
2022-12-06,346.505,379.0067519596711,0.0004,2.2650302695067445e-05,10288
2022-12-06,349.72,380.75919743561155,0.0004,4.172202246742253e-05,4643
2022-12-06,349.18499999999995,382.67593321461857,0.0004,4.2703173467347373e-05,8822
2022-12-06,354.38,396.8408271678481,0.0004,3.6238318827244656e-05,7268
2022-12-06,379.36,398.6905668467789,0.0004,6.348944911774652e-05,19532
2022-12-06,386.985,498.9696331647168,0.0004,0.00013088382896764235,28330
2022-12-06,370.9649999999999,472.88519384131575,0.0004,0.00011824611511476164,16459
2022-12-06,344.78499999999997,369.53380830045944,0.0004,4.7860555571132765e-05,18870
2022-12-06,309.88,341.996083675385,0.0004,1.960995206645136e-05,6972
2022-12-06,281.045,312.2961535996425,0.0004,1.114099092075834e-05,12417
2022-12-06,256.735,265.69918367902346,0.0004,1.6130171306534733e-05,9077
2022-12-06,248.1,294.1269214367745,0.0004,1.7095426731479988e-05,2488
2022-12-06,249.945,333.96013644494366,0.0004,1.9342338040322614e-05,6709
2022-12-06,245.78,329.2512168094061,0.0004,1.874897777516448e-05,3024
2022-12-07,235.385,240.75774699943946,0.0004,1.8272395457382736e-05,2726
2022-12-07,226.685,224.71941130071474,0.0004,1.8346258503915244e-05,4377
2022-12-07,226.75,228.22602947639658,0.0004,1.890277359324527e-05,4838
2022-12-07,239.065,239.84597690269834,0.0004,1.7687569764818955e-05,7300
2022-12-07,255.78499999999997,279.3777282500388,0.0004,6.352731289621171e-06,6511
2022-12-07,269.145,328.57064627696894,0.0004,1.148956106153677e-05,4313
2022-12-07,307.445,405.34101840686594,0.0004,4.348522765220956e-05,8380
2022-12-07,349.5,443.56219983374,0.0004,1.2685154277098508e-05,14589
2022-12-07,355.11,409.40451842012965,0.0004,1.7106006361379327e-05,9815
2022-12-07,346.99,382.1758477794173,0.0004,3.2700686885391104e-05,4693
2022-12-07,345.735,377.3650902984475,0.0004,1.8703555087666926e-05,10408
2022-12-07,348.245,396.568289464346,0.0004,2.9865642765452513e-05,12208
2022-12-07,348.9,416.7824516264992,0.0004,3.932828853155058e-05,7706
2022-12-07,351.595,410.21289335862355,0.0004,4.565369834101365e-05,9210
2022-12-07,388.695,559.7824816403756,0.0004,6.478593550094782e-05,13043
2022-12-07,426.0,916.0939263803693,0.0004,0.00012616540703797442,20731
2022-12-07,412.165,828.9659682434591,0.0004,0.00011718831587898916,26384
2022-12-07,373.95000000000005,531.0937064943233,0.0004,4.8625334404037565e-05,15809
2022-12-07,328.31,382.834772057265,0.0004,2.928303506434734e-05,6563
2022-12-07,286.61,301.062013900412,0.0004,1.9700309695732344e-05,8091
2022-12-07,258.86,273.060531930222,0.0004,7.176913830823077e-06,16977
2022-12-07,252.55,283.7712865824147,0.0004,1.6097375333993776e-05,2993
2022-12-07,254.72,267.14474149844483,0.0004,2.040608624543597e-05,13547
2022-12-07,249.695,279.34239299775845,0.0004,1.9846805620284285e-05,11034
2022-12-08,243.78,244.04714477090732,0.0004,1.8949237394909318e-05,2970
2022-12-08,242.115,234.15357750054005,0.0004,1.9067347484763503e-05,4651
2022-12-08,246.935,235.35488739266538,0.0004,1.9701592782855703e-05,5910
2022-12-08,257.235,249.87194045876407,0.0004,1.7547638537872422e-05,7460
2022-12-08,300.32,280.27676645437765,0.0004,7.360093308949271e-06,10975
2022-12-08,361.05,304.51701217796256,0.0004,2.5146026707077193e-05,4513
2022-12-08,400.38,306.94118452847954,0.0004,4.495613413266741e-05,6643
2022-12-08,415.11,348.012720130804,0.0004,3.224480980242445e-05,6397
2022-12-08,409.56500000000005,365.5449079069773,0.0004,3.114123948762402e-05,7096
2022-12-08,394.59,364.6626787549874,0.0004,4.567568325872228e-05,12086
2022-12-08,386.92999999999995,365.482095827081,0.0004,1.0102316266000885e-05,15141
2022-12-08,393.43,362.57713202802813,0.0004,2.5843323892129608e-05,11224
2022-12-08,404.325,362.12491374428976,0.0004,2.690296287540227e-05,9831
2022-12-08,421.96000000000004,390.4827346553549,0.0004,4.7417570185692366e-05,27332
2022-12-08,486.30000000000007,428.7115436701273,0.0004,6.657575334375114e-05,24179
2022-12-08,531.645,499.24485154646504,0.0004,0.00013596018897216714,36724
2022-12-08,510.97,482.09116506331713,0.0004,0.00011795885668941946,45495
2022-12-08,459.69000000000005,372.21601963058004,0.0004,5.039256690351432e-05,8442
2022-12-08,390.05500000000006,352.54664565925475,0.0004,3.0872842554626225e-05,8265
2022-12-08,340.415,283.34954779295447,0.0004,1.2993426658790039e-05,9742
2022-12-08,302.97,262.4686510527349,0.0004,1.794455834157776e-05,10117
2022-12-08,287.555,263.673833726785,0.0004,1.8910000936844498e-05,7308
2022-12-08,285.025,255.19323964882068,0.0004,2.1021095178624812e-05,4102
