Date,Actual,Predicted,Best Alpha,Dual gap,Iterations
2022-12-06,248.825,247.28111899489852,0.0004,3.109282089734076e-05,1755
2022-12-06,247.715,245.30690467606868,0.0004,3.206078664496571e-05,1847
2022-12-06,250.0,239.00941836932503,0.0004,3.3924215945287486e-05,2329
2022-12-06,258.9,235.91539948241137,0.0004,4.067929062670902e-05,6549
2022-12-06,292.11,272.1701029549268,0.0004,5.453279350248258e-05,4930
2022-12-06,326.435,321.19810699810523,0.0004,6.064657603035038e-05,3742
2022-12-06,356.93000000000006,332.99865736030273,0.0004,5.56575283181147e-05,6055
2022-12-06,382.12,356.7267730538641,0.0004,5.0288973289507884e-05,5527
2022-12-06,373.57,365.64774693407435,0.0004,4.756960514412229e-05,7223
2022-12-06,353.86,356.89582556810194,0.0004,4.628703703414881e-05,5270
2022-12-06,346.505,357.21854780962235,0.0004,4.536715153027191e-05,8104
2022-12-06,349.72,371.3261551999236,0.0004,4.476059346761349e-05,10769
2022-12-06,349.18499999999995,382.2502949292512,0.0004,4.7474375370878186e-05,9883
2022-12-06,354.38,390.72488299829274,0.0004,5.5361682427223205e-05,19666
2022-12-06,379.36,380.19560358763283,0.0004,6.785263162479592e-05,12922
2022-12-06,386.985,372.21718702752287,0.0004,8.637795733833144e-05,23771
2022-12-06,370.9649999999999,373.7792270247478,0.0004,8.821241078222103e-05,23893
2022-12-06,344.78499999999997,336.4689590286464,0.0004,7.653239662445097e-05,8198
2022-12-06,309.88,308.2857583233016,0.0004,6.756701810876882e-05,11324
2022-12-06,281.045,257.0180761665245,0.0004,5.4341845105974086e-05,7697
2022-12-06,256.735,226.34349005854278,0.0004,4.237935138346831e-05,14229
2022-12-06,248.1,229.50632362117418,0.0004,3.728350699592965e-05,6508
2022-12-06,249.945,212.38574600327757,0.0004,3.409786778622599e-05,8174
2022-12-06,245.78,210.65296743823177,0.0004,3.210486665053566e-05,5134
