Feature,H1 - Coefficient - 1,H2 - Coefficient - 1,H3 - Coefficient - 1,H4 - Coefficient - 1,H5 - Coefficient - 1,H6 - Coefficient - 1,H7 - Coefficient - 1,H8 - Coefficient - 1,H9 - Coefficient - 1,H10 - Coefficient - 1,H11 - Coefficient - 1,H12 - Coefficient - 1,H13 - Coefficient - 1,H14 - Coefficient - 1,H15 - Coefficient - 1,H16 - Coefficient - 1,H17 - Coefficient - 1,H18 - Coefficient - 1,H19 - Coefficient - 1,H20 - Coefficient - 1,H21 - Coefficient - 1,H22 - Coefficient - 1,H23 - Coefficient - 1,H24 - Coefficient - 1
Last Closing Gas Price [GBpence/therm]_standardized,0.0027459153813256696,0.02350313630156337,0.0544419081279175,0.07279461477252837,0.059239375797664494,0.04435107858134186,0.038349669852694564,0.010169433152857286,-0.004356326291998408,0.0,0.0286041505242491,0.04456364979266746,0.046128739894542345,0.05759730666590241,0.10611144219527663,0.20344375258124311,0.20876887582706832,0.16878270008181723,0.13824547853557376,0.11299636450329152,0.09052438264667702,0.10329928573508947,0.10667891495993582,0.10319168862853523
Day-ahead Price [GBP/MWh]_standardized d-1 h=1,0.0,-0.0,-0.0395498300303233,-0.1181086635838337,-0.0,0.0,-0.032263904150858204,-0.08033820504244699,-0.13323243016086797,-0.0,-0.0,-0.0,-0.0,-0.07244065085618968,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=2,0.0,0.04091263360988056,0.0,-0.0,-0.07173649996621162,0.0,-0.0,-0.0,-0.002928568167558518,-0.012827500939773683,-0.0,-0.0,0.0,-0.0,0.0,0.23340819906635446,0.11973703847005839,0.0,0.0010551298162066076,0.0,0.0,0.0,0.02779631464873698,0.02482129978597053
Day-ahead Price [GBP/MWh]_standardized d-1 h=3,0.017492568192481912,0.0327089900357682,0.05825141775277103,-0.0,-0.02400105814498067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24086152117939094,0.17776282342072994,0.0,0.389215151069671,0.35636401834815884,0.24922893225404852,0.14004431415041058,0.055070297689342386,0.07124156830688538,0.04190563156466749,0.01768539659145555
Day-ahead Price [GBP/MWh]_standardized d-1 h=4,0.0,0.0,0.02821147409800234,0.1874881199976373,0.1882525201193427,0.0,0.0,0.07433834645528141,0.18576983435712796,0.19146366715714072,0.15979280734718293,0.21670903586831655,0.2791249495640211,0.07315086887979977,0.1974154517525192,0.43697776834110663,0.10995542181776771,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=5,-0.0,-0.006772736961640353,0.0,0.0,-0.0,-0.0,-0.10680250063342225,-0.15249133120798702,-0.28132998158845957,-0.2971889955959717,-0.24291196663887207,-0.27295228162837315,-0.34475720637791396,-0.24694191363130855,-0.360660355555057,-0.6588617137886129,-0.4955340935655128,-0.2616436529356064,-0.238399845885187,-0.13087920088009267,-0.04172864249224788,-0.08919895374704874,-0.033022737114633674,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=6,-0.0,-0.010533227810244657,-0.034659826574196986,-0.04123413447924346,-0.029228795008254888,-0.07095063251256177,-0.07160012290903281,-0.18227492025605105,-0.09834628734657348,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.027629869988597063,-0.16446198052911953,-0.20217964079886747
Day-ahead Price [GBP/MWh]_standardized d-1 h=7,-0.0,0.0,-0.0,-0.0,0.0,0.18647338503374966,0.22909582579474638,0.21260868234746555,0.16780782763699645,0.11603950303237151,0.1150908506152173,0.09925803136015306,0.10971161390362844,0.060491034152196324,0.04289484588456236,0.29986503248956303,0.277818807469404,0.001296286940563222,-0.0,-0.06817702164871912,-0.11775924210428575,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=8,-0.0,0.0,0.0,0.012847077320027333,0.09803776482047553,0.1475868676970116,0.1318294441061425,0.1780534934421447,0.12453937100879688,0.050668261242272104,0.0,0.0,0.0,0.07070425742497369,0.1505531093705275,0.0,0.11332265631683715,0.33559203167060403,0.19173131653993314,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=9,-0.0,0.0,0.04738231307717347,0.02949778124608477,-0.0,-0.12254481175871072,-0.0,0.0,0.0,0.0,0.0,0.0,0.01095011175798945,0.0,-0.0,-0.049254880626214935,-0.0,-0.0,0.15913928138738542,0.3886992189278793,0.3858208600913637,0.23222853246730543,0.1865455703509085,0.11907121528043109
