Feature,H1 - Coefficient - 1,H2 - Coefficient - 1,H3 - Coefficient - 1,H4 - Coefficient - 1,H5 - Coefficient - 1,H6 - Coefficient - 1,H7 - Coefficient - 1,H8 - Coefficient - 1,H9 - Coefficient - 1,H10 - Coefficient - 1,H11 - Coefficient - 1,H12 - Coefficient - 1,H13 - Coefficient - 1,H14 - Coefficient - 1,H15 - Coefficient - 1,H16 - Coefficient - 1,H17 - Coefficient - 1,H18 - Coefficient - 1,H19 - Coefficient - 1,H20 - Coefficient - 1,H21 - Coefficient - 1,H22 - Coefficient - 1,H23 - Coefficient - 1,H24 - Coefficient - 1
Last Closing Gas Price [GBpence/therm]_standardized,0.0,0.0086659810153886,0.05728659673947068,0.148879339188535,0.23290717890016138,0.32453599579492776,0.5126886925503586,0.431064253034397,0.3153126900690507,0.26189215171630825,0.20365745061895155,0.16760122286850077,0.19555389853804794,0.12064024034819279,0.5181896927220286,1.476135582909954,1.1087638709909549,0.14739039254184744,0.0,0.0,0.0,0.07744719342379681,0.2407713075029838,0.07989155321521674
Day-ahead Price [GBP/MWh]_standardized d-1 h=1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.01220258615309932,0.6234621925790959,0.3645154709449697,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=2,0.0,0.0,0.0,-0.0,-0.07200613010495656,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=3,0.0,0.0,0.0,0.0,-0.0,-0.2148308149076339,-0.40615237061183074,-0.2598135137094463,-0.1587464456897631,-0.07678912451667658,-0.09910446061328092,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.1721160413064305,0.04369890650266392,0.13682002640534632
Day-ahead Price [GBP/MWh]_standardized d-1 h=4,0.0,0.014587296204991194,0.048499650260109,0.023504295616712988,0.09296916452818553,0.0,-0.04357571910514381,-0.0713787312400923,-0.04980902102720857,-0.03245454935001718,-0.0,-0.025197981953938353,-0.03472787827857796,-0.0,-0.0,-0.5925484184289588,-0.48174611387432287,-0.13948781861562218,-0.040831328939631505,-0.05431195542264409,-0.0,0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=5,0.04991134935959669,0.058167350419972945,0.0,0.0,0.0,0.013914271597884,0.0,0.0,0.0,0.0,0.03572809732614305,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.06372396743404965,0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=6,0.0,0.030800539074351894,0.03733308221258684,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.10605912290148808,0.11113733327484215,0.11026209675700313,0.12604806467643145,0.20045170132391593,0.3349681332188583,0.2515973871010663,0.16953931212964957,0.08020191949207602,0.07227116844728505,0.1484645403458511,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=7,-0.0,0.0,0.004395541683393866,0.04440447048970414,0.0,-0.004976975436796639,0.0,-0.0,-0.030783678962236462,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.13959587026018572,0.0,0.08410973056782725,0.0,-0.0,-0.0,0.0,0.0,0.050439445991764566
Day-ahead Price [GBP/MWh]_standardized d-1 h=8,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=9,-0.03604777307799301,-0.09960734177839158,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0175732950509314,-0.0,-0.13217069834062878
Day-ahead Price [GBP/MWh]_standardized d-1 h=10,-0.0003734317039285098,-0.007602942348267806,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=11,-0.0001365780611099702,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.03620166776076632,-0.07755897707247067,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2098387730062274,0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=13,-0.0,-0.0,-0.039699996393823066,-0.05871044909965543,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=14,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=15,0.0,0.0,-0.0,-0.0,0.0,0.14559827570303613,0.5507587685505585,0.32695001442332755,0.5124800429020901,0.42176539078477465,0.1634856127902623,0.04393720326718993,0.1298759041869369,0.24832808001581178,0.5775044248040314,1.2309372363394548,1.437667590463131,0.9554957030459591,0.5537619358787154,0.4386748967465348,0.24439176737637947,0.05955896800569532,0.009585069726904446,0.08506148460799197
Day-ahead Price [GBP/MWh]_standardized d-1 h=16,0.0,0.0,0.0,0.04856096995787908,-0.0,-0.005269611403942459,-0.22228893247629822,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0304788661217001,0.007674537715990618
Day-ahead Price [GBP/MWh]_standardized d-1 h=17,0.0,0.01231452429257067,0.028119978085090362,0.012108859374499317,0.0,-0.0,-0.0,-0.22300393183705874,-0.2869021236179985,-0.23983312662639117,-0.08439689383836028,-0.0,-0.05706836782789276,-0.13975883662284236,-0.21543719093385094,-0.2289061052232481,-0.4240412666493262,-0.5372592888995291,-0.37611132884092635,-0.3531691934497248,-0.239840614119432,-0.039163735662703834,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=18,-0.0,0.0,-0.0,-0.0,0.18684116111170046,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=19,-0.0,0.0,-0.0,-0.0,0.05622969075652613,0.0,0.0,-0.0,-0.0,-0.023437015254407306,-0.1819038551949247,-0.22813790660945474,-0.2494876306601527,-0.19906633253967743,-0.6511363125693066,-1.4123646198456703,-1.2065188766453554,-0.7305750451496996,-0.22600901517583588,-0.251672608725198,-0.07721244755649276,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=20,-0.0,-0.0,-0.0,-0.0,0.0,0.3911973449159915,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=21,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.19614399938109411,0.16135989724946836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=22,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.2033300590005732,0.7069280436539369,0.7485618309736949,0.627421744909583,0.8627254831247472,0.9409429183569055,1.0640224796096422,0.9658811810531872,1.357141401791614,1.6942561491091643,1.6553619235642199,1.4650124401038065,1.0479338313866795,0.9497940827003806,0.7087725735971372,0.3440232175488913,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=23,0.0,0.0,0.0,0.0,0.0,0.1913004112727254,0.7022330345342878,0.3527398243334598,0.2709643228955227,0.2898070063720598,0.0667315557084284,0.0,0.0,0.09115190739228925,0.0,0.0,0.0,0.0,0.0,0.09486352838792667,0.14131976261207,0.10514110133563737,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-1 h=24,0.8961268117796504,0.7770071689898775,0.7102114640870618,0.7292602551750513,0.6407818441785517,0.4311968977910364,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036506947430727694,0.0,0.01976316434272089,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=1,0.010192724268279243,0.04635503416365979,0.14294789848700618,0.032013792773410946,-0.0,-0.0,-0.021275489129185515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.22191575730515029,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=2,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.00916163179499878,0.0,0.010084762063182642,0.0,-0.0,-0.0,0.07956593904915632,0.03985820235276745,0.0,0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=3,0.0,-0.0,-0.0,-0.0,-0.0,-0.04501495960233463,0.0,0.07651236181232175,0.11785110861451949,0.14586500102448288,0.13816532976146326,0.0836077876924923,0.0,0.03663359519268723,0.0,-0.0,-0.0,0.2220190452676494,0.2499126058072402,0.2830459060530376,0.0,0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=4,0.0,-0.0,-0.0,-0.0,-0.19200224323286408,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.11899151416062267,-0.05577960351235251,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=5,0.0,-0.035937028624518856,-0.14844047241601185,-0.2399574930053039,-0.11371005746199678,-0.0,0.08882428436054776,-0.0,-0.0,-0.0,-0.014327319115853807,-0.0,-0.0,0.0,-0.0,-0.04557604222022668,-0.0,-0.09347864153068426,-0.06709360432699406,-0.15380356029605435,-0.023358446943984906,-0.0,-0.20310077089969056,-0.33628284994652285
Day-ahead Price [GBP/MWh]_standardized d-2 h=6,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0031710661497965646,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=7,0.0,0.013341669769254312,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05138088549513031,-0.0,-0.0,0.0,0.0,0.11865340264427898,0.2996559409564263
Day-ahead Price [GBP/MWh]_standardized d-2 h=8,0.0,0.020375768053922914,0.07438818997235959,0.09776908149532822,0.015128478835904135,-0.053742169894302465,-0.027611833803734644,-0.0,-0.0,-0.0,-0.0,-0.22229317781080227,-0.14305454467007123,-0.13383861084243465,-0.21299656753441307,-0.0,-0.06053881147638367,-0.0,-0.08462291896866056,-0.0,-0.0,0.0,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=9,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=10,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=11,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.19700419934173602,-0.0,-0.07907513712393147,-0.20467723804934682
Day-ahead Price [GBP/MWh]_standardized d-2 h=12,0.0,-0.0,-0.0,0.0,0.0,-0.17733412488917347,-0.30139126794625454,-0.3126408036300608,-0.15538314792743055,-0.22141253561129542,-0.23063001104054107,-0.0,-0.02421261710935519,-0.006773737387391395,-0.0,-0.0,-0.0,-0.00852875101433149,-0.2913635741214821,-0.0938667990398982,-0.0,-0.16865290017576995,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.21490697646652643,-0.08800399373982852,-0.004051211376449083,-0.0,-0.0,-0.0,-0.3304837810030836,-1.2118616880946291,-1.4357290856594003,-0.826890874517177,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=14,0.03234861509914118,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=15,0.0006835320464571456,0.018715373074519415,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.06576430045793988,-0.03766825638619845,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=16,0.0,0.0,-0.006531665609845365,-0.0,0.03462346018691863,0.11115091811058558,0.15764594759019496,0.18182924225634853,0.20888951769645447,0.18974118998247216,0.1667640695475382,0.09403352413895603,0.07867317895724694,0.11903716748606032,0.0,-0.0,-0.0,0.13255442597094316,0.17028471938103515,0.06832255167989201,0.08461955366189738,0.05167643646724007,0.0,0.0
Day-ahead Price [GBP/MWh]_standardized d-2 h=17,0.0,0.0,-0.023431209108373045,-0.0,0.024336375551415646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.20162155210240748,-0.1717112216953793,0.0,0.0,0.0,0.0,0.0,0.01916859914421258,0.0
