Date,Actual,Predicted
2022-12-06,248.825,242.02568699804308
2022-12-06,247.715,232.1155229181301
2022-12-06,250.0,229.47744073342926
2022-12-06,258.9,246.83854138392974
2022-12-06,292.11,290.39409695532834
2022-12-06,326.435,322.4975164996397
2022-12-06,356.93000000000006,336.7166688423672
2022-12-06,382.12,339.9997323186658
2022-12-06,373.56999999999994,329.3913443276024
2022-12-06,353.86,320.9489246387555
2022-12-06,346.50499999999994,319.90529570294564
2022-12-06,349.72,319.8479130903147
2022-12-06,349.18499999999995,319.7075703936325
2022-12-06,354.38,325.93167359836264
2022-12-06,379.36,355.0587518295208
2022-12-06,386.985,431.40508660894693
2022-12-06,370.9649999999999,427.59979442010183
2022-12-06,344.785,369.58650066937196
2022-12-06,309.88,316.95518612397746
2022-12-06,281.045,269.78633912396594
2022-12-06,256.735,247.72630397934353
2022-12-06,248.10000000000002,240.650612053082
2022-12-06,249.945,238.83066370742114
2022-12-06,245.78,230.97827414440314
2022-12-07,235.385,237.49917028660994
2022-12-07,226.685,231.20053533204276
2022-12-07,226.75,232.1195097056036
2022-12-07,239.065,254.54599172820195
2022-12-07,255.785,301.2757436789574
2022-12-07,269.145,337.6766319796581
2022-12-07,307.44500000000005,348.00220264023073
2022-12-07,349.5,344.39480142988316
2022-12-07,355.11,331.25971187873455
2022-12-07,346.99,323.43205598592135
2022-12-07,345.735,321.9789529968974
2022-12-07,348.245,323.5289839326489
2022-12-07,348.9,327.98062034294946
2022-12-07,351.595,339.79050564531906
2022-12-07,388.695,384.2278001851567
2022-12-07,426.0,447.933958301596
2022-12-07,412.165,436.6723466518026
2022-12-07,373.95,387.99556037566697
2022-12-07,328.31,339.20393442259143
2022-12-07,286.61,291.39073645468807
2022-12-07,258.86,266.44797093636066
2022-12-07,252.55,258.77832885965444
2022-12-07,254.72000000000003,256.55063118156534
2022-12-07,249.695,249.81718538493817
2022-12-08,243.78,242.9293328657399
2022-12-08,242.115,240.26597768497254
2022-12-08,246.935,245.1373296678595
2022-12-08,257.235,271.4423032670486
2022-12-08,300.32,318.6717413950073
2022-12-08,361.05,354.51464814440965
2022-12-08,400.38,366.1606984415843
2022-12-08,415.11,366.5701303987591
2022-12-08,409.565,354.0972382338231
2022-12-08,394.59000000000003,343.17416673537116
2022-12-08,386.93000000000006,341.6207127848795
2022-12-08,393.42999999999995,347.299156376071
2022-12-08,404.32500000000005,353.74366848866225
2022-12-08,421.9599999999999,368.1581760271024
2022-12-08,486.30000000000007,430.354910499924
2022-12-08,531.645,522.0674952814624
2022-12-08,510.97,513.1116402338534
2022-12-08,459.68999999999994,443.404349049915
2022-12-08,390.05499999999995,374.8294555451432
2022-12-08,340.415,314.85419313029075
2022-12-08,302.97,283.9254072285666
2022-12-08,287.555,277.7316890631681
2022-12-08,285.025,275.72012685035645
2022-12-08,278.26,268.10946078974916
2022-12-09,275.035,270.37319273175024
2022-12-09,270.84,263.1147242575643
2022-12-09,273.27,265.8566813325573
2022-12-09,280.95,290.8140403774687
2022-12-09,323.9,341.5826112322376
2022-12-09,399.56000000000006,386.2343412262438
2022-12-09,456.4,401.4902607473864
2022-12-09,474.39,400.7373733667921
2022-12-09,447.53,384.67158500983373
2022-12-09,418.53,371.5807569443854
2022-12-09,413.65999999999997,367.56683383191853
2022-12-09,414.66499999999996,369.4385760097922
2022-12-09,423.06999999999994,377.90294429308676
2022-12-09,430.89,396.3018648039325
2022-12-09,460.9150000000001,466.5981165258079
2022-12-09,504.87,557.8489675179612
2022-12-09,493.79999999999995,538.0721571621608
2022-12-09,448.03499999999997,464.65736485079174
2022-12-09,396.75,396.645037595031
2022-12-09,355.49000000000007,340.26930768349297
2022-12-09,323.64,308.8468862994008
2022-12-09,288.88,301.9442607006848
2022-12-09,272.965,301.5393487595704
2022-12-09,267.29,295.08575984694363
2022-12-10,259.895,259.38034627178945
2022-12-10,253.07999999999998,252.12483308799796
2022-12-10,251.44,249.33775448907144
2022-12-10,257.195,262.9759500837939
2022-12-10,271.18,298.2469410530156
2022-12-10,287.365,336.71931022490844
2022-12-10,309.33,366.6682237591622
2022-12-10,338.875,380.4134902816725
2022-12-10,350.61,374.61098902900204
2022-12-10,340.61,368.9441449446971
2022-12-10,332.37,365.5247060698749
2022-12-10,331.76,367.3023830526739
2022-12-10,339.33500000000004,370.501517636431
2022-12-10,358.24,376.3847385863925
2022-12-10,386.24,422.0590768622236
2022-12-10,413.29999999999995,508.24331634497366
2022-12-10,410.92499999999995,509.8152165644864
2022-12-10,375.81500000000005,448.59717211227735
2022-12-10,332.25,392.11628475674354
2022-12-10,305.29,346.26278845995455
2022-12-10,288.865,312.4773869558105
2022-12-10,282.81,302.8435587025908
2022-12-10,285.27,299.0999935937949
2022-12-10,278.725,290.13059869212645
2022-12-11,268.505,268.5674316899473
2022-12-11,259.865,260.2160554461052
2022-12-11,258.145,255.3691905141255
2022-12-11,260.48,260.2408048822774
2022-12-11,268.83,273.30191651520454
2022-12-11,265.63,293.19319799659803
2022-12-11,269.44,313.3652817003065
2022-12-11,301.36,337.9299067377681
2022-12-11,329.045,343.85468599128797
2022-12-11,338.54,346.40342935509454
2022-12-11,346.62999999999994,351.52733027066915
2022-12-11,356.605,356.59377506553506
2022-12-11,359.29,359.1183070592907
2022-12-11,364.265,363.529539762947
2022-12-11,409.805,411.88248949188676
2022-12-11,474.67999999999995,504.7697941234251
2022-12-11,462.8399999999999,511.6036903858205
2022-12-11,397.31999999999994,453.69964351137946
2022-12-11,344.055,386.63444950122584
2022-12-11,311.03,340.994829297568
