Date,Actual,Predicted
2022-12-06,248.825,233.00736282244395
2022-12-06,247.715,228.74984653271883
2022-12-06,250.0,223.72296791375632
2022-12-06,258.9,223.16954586869088
2022-12-06,292.11,248.84610644198693
2022-12-06,326.435,278.50635143175003
2022-12-06,356.93000000000006,299.77244867831035
2022-12-06,382.12,323.28936341626127
2022-12-06,373.56999999999994,327.4543366917249
2022-12-06,353.86,324.97297459657074
2022-12-06,346.50499999999994,328.1163354199201
2022-12-06,349.72,330.49796623385686
2022-12-06,349.18499999999995,331.42021040046
2022-12-06,354.38,328.9036179888883
2022-12-06,379.36,378.4392129497269
2022-12-06,386.985,398.8238212384639
2022-12-06,370.9649999999999,383.54513785202226
2022-12-06,344.785,354.48112802421997
2022-12-06,309.88,306.84864522035724
2022-12-06,281.045,266.61719224723606
2022-12-06,256.735,245.84051246032496
2022-12-06,248.10000000000002,240.69275256434355
2022-12-06,249.945,232.48392221992643
2022-12-06,245.78,225.909797646267
2022-12-07,235.385,231.36397188323258
2022-12-07,226.685,224.94892868505138
2022-12-07,226.75,224.39191046975853
2022-12-07,239.065,229.05198710288806
2022-12-07,255.785,254.2274906878443
2022-12-07,269.145,287.11271376157345
2022-12-07,307.44500000000005,314.09018730696596
2022-12-07,349.5,335.6808969733407
2022-12-07,355.11,337.12519466236415
2022-12-07,346.99,333.30475914709086
2022-12-07,345.735,333.2927818062221
2022-12-07,348.245,338.28451953244013
2022-12-07,348.9,339.89454562154685
2022-12-07,351.595,338.1271289866106
2022-12-07,388.695,378.4927258264563
2022-12-07,426.0,493.0968516654159
2022-12-07,412.165,465.2115984859821
2022-12-07,373.95,360.47395133380843
2022-12-07,328.31,311.3956512969952
2022-12-07,286.61,276.3936668755561
2022-12-07,258.86,252.6581479492013
2022-12-07,252.55,249.8688564116241
2022-12-07,254.72000000000003,251.44252468167653
2022-12-07,249.695,243.98847021546942
2022-12-08,243.78,238.14165144963482
2022-12-08,242.115,234.20025496093928
2022-12-08,246.935,236.05009158341278
2022-12-08,257.235,251.93379904528328
2022-12-08,300.32,284.3588418469203
2022-12-08,361.05,322.5397838636137
2022-12-08,400.38,352.6636775560565
2022-12-08,415.11,376.39575963101754
2022-12-08,409.565,379.2704881999439
2022-12-08,394.59000000000003,371.8546991630617
2022-12-08,386.93000000000006,371.7249457402367
2022-12-08,393.42999999999995,376.9894964717754
2022-12-08,404.32500000000005,380.90611409640667
2022-12-08,421.9599999999999,384.2973909000932
2022-12-08,486.30000000000007,440.73638859655534
2022-12-08,531.645,560.8346752134456
2022-12-08,510.97,530.9218364882912
2022-12-08,459.68999999999994,410.8563237140213
2022-12-08,390.05499999999995,349.7371171195997
2022-12-08,340.415,304.80293651358346
2022-12-08,302.97,277.4599528257123
2022-12-08,287.555,276.2157537376554
2022-12-08,285.025,279.13522459790835
2022-12-08,278.26,272.2250919808839
2022-12-09,275.035,263.8067232718154
2022-12-09,270.84,257.2553051217204
2022-12-09,273.27,258.3682705065661
2022-12-09,280.95,276.4760613890567
2022-12-09,323.9,310.23551933455406
2022-12-09,399.56000000000006,354.71259370968147
2022-12-09,456.4,389.9375509580118
2022-12-09,474.39,410.39855692477806
2022-12-09,447.53,412.83756960490615
2022-12-09,418.53,402.4690679184581
2022-12-09,413.65999999999997,400.6220071449478
2022-12-09,414.66499999999996,403.72243293699535
