Ytrue,Yp
162.105,160.38026
146.96,159.24739
103.38,152.2839
67.76,148.30446
61.5,145.67082
48.445,78.32655
37.425,68.98354
37.215,66.63774
41.805,74.32536
62.295,90.052376
91.165,102.00486
125.21,117.239944
152.065,117.38138
154.305,113.01665
149.08,109.15164
148.575,112.08503
149.32,117.42213
149.43,124.1458
149.995,129.7304
158.96,147.53844
169.14,166.9055
160.855,161.36806
143.77,145.32332
127.53,135.80249
111.52,120.107086
82.8,108.766335
75.13,102.033516
81.06,101.4491
69.935,93.600266
59.155,91.722275
50.115,88.548965
47.605,87.978035
46.71,88.72748
52.92,104.747025
63.23,111.614395
78.785,115.524414
103.835,122.38907
130.0,123.86816
147.965,119.73447
161.455,123.92654
178.97,125.21689
181.98,126.62475
176.265,128.893
167.49,147.20067
153.395,170.81238
143.745,160.7756
136.04,149.48059
122.685,137.29926
109.15,127.36802
90.37,116.29624
71.7,114.74107
68.935,105.74443
62.955,103.30787
41.345,67.77691
22.69,62.409016
15.225,62.048653
8.325,65.35433
14.295,80.12335
36.375,90.168076
57.84,102.83351
58.165,101.114716
59.65,96.48887
74.34,92.1407
81.53,91.82731
90.505,97.43474
98.28,102.85394
109.825,101.17678
141.755,117.60367
171.215,143.88725
174.11,135.02895
145.11,117.29205
116.075,105.099556
104.5,98.653
94.555,91.046715
86.8,85.54914
85.895,76.692
88.79,75.102615
90.17,63.23582
90.8,56.498608
93.945,55.18864
109.4,65.28512
134.34,80.91903
148.475,96.84476
156.91,107.48483
163.35,105.99226
163.36,101.26445
155.46,97.13493
144.965,99.12228
141.135,100.83683
142.1,103.79477
148.335,104.08032
157.485,120.71499
165.34,146.90993
162.05,133.75766
151.67,120.84454
136.465,109.4992
117.71,100.02137
97.225,93.650246
60.17,86.77179
29.555,76.2579
20.78,74.987564
13.825,59.105762
10.385,53.39585
12.255,53.720657
29.59,61.395203
70.48,72.63227
103.93,84.90064
136.485,95.80055
172.89,93.69593
190.8,88.67728
191.56,83.232185
186.73,84.83191
177.82,89.52314
164.16,93.0224
156.89,95.213806
157.115,111.085884
162.765,131.50807
152.44,124.35652
143.67,109.64226
138.855,94.74375
106.85,88.840515
65.58,84.0541
22.675,76.92496
-3.37,71.44212
-8.315,70.46762
-19.86,55.475754
-33.485,44.178085
-41.91,46.778755
-44.385,52.872295
-30.455,66.66483
-6.74,86.59682
17.345,90.415504
46.32,89.58947
74.765,84.59079
83.46,76.97867
82.385,82.39236
86.295,86.29693
88.69,92.92872
87.165,92.40148
106.41,108.49625
144.215,135.29343
157.535,130.97012
142.55,110.68523
117.41,103.17986
89.38,91.9293
54.93,83.52274
34.58,79.23062
25.45,75.61547
18.06,70.56292
11.835,63.22181
4.745,55.109844
1.665,51.790314
2.14,55.106487
12.555,74.884384
30.69,90.79541
45.145,99.09861
88.97,92.844864
147.99,90.61813
166.785,83.747406
171.56,87.61306
166.095,92.340675
144.05,97.31353
119.375,95.285164
119.53,117.639595
140.41,134.93639
137.62,123.39573
123.515,110.36544
86.36,98.76972
38.1,93.931564
16.28,86.80806
9.075,77.60123
21.96,74.86705
33.06,66.23268
30.76,62.42006
35.92,61.023174
31.755,57.09772
42.725,59.075638
71.205,75.03706
62.575,90.3148
82.23,99.71975
140.0,96.97075
161.24,94.22288
170.04,89.63694
185.525,94.7448
189.82,96.51495
182.6,103.56372
178.63,102.85374
193.45,116.941795
214.11,136.86505
207.61,133.46758
188.115,117.04409
168.065,105.6164
159.015,97.75218
143.865,87.72812
69.525,85.307144
19.825,79.57308
28.27,81.22263
18.21,70.044556
2.495,62.059933
-0.115,60.228516
-0.575,59.045784
-0.075,75.68045
4.735,87.04748
22.895,87.43122
67.115,91.39951
117.07,87.01849
135.075,84.63923
141.58,85.132324
153.885,90.52938
160.465,96.30547
148.605,92.38424
152.47,111.631775
179.36,129.08142
184.49,123.00057
170.84,115.634705
155.315,100.930275
149.77,89.820305
138.515,86.56934
138.81,84.20353
162.905,81.025444
178.915,75.402504
170.235,95.35613
150.7,93.7287
132.94,93.073845
125.01,99.71311
134.66,131.267
133.785,170.45184
133.73,190.9473
151.545,189.6302
160.58,180.43382
163.43,171.48834
164.91,174.87685
164.62,173.45102
164.395,185.6575
159.235,186.91032
179.675,216.41118
224.655,236.96913
230.395,214.87227
199.02,198.94286
169.35,169.82416
164.405,149.49532
153.305,126.81291
154.37,117.08588
168.125,119.78751
156.935,119.71741
127.525,106.19567
96.915,100.53181
95.895,100.168495
109.825,101.92167
134.755,111.54289
147.99,128.93303
151.54,131.9313
159.47,135.8407
162.03,135.30629
159.115,127.379005
155.21,129.02637
155.23,128.89995
157.675,128.77477
156.8,133.02739
158.965,145.15369
163.33,171.912
154.965,153.24278
154.57,142.03894
155.91,133.68127
133.415,126.06393
102.935,119.17838
75.105,114.85869
54.4,113.791214
37.45,116.44168
18.955,49.789673
8.28,42.303448
7.675,41.444973
21.88,48.500988
59.225,57.794247
102.26,73.28146
128.7,83.572205
140.925,93.16397
145.07,80.74481
141.59,69.69691
140.435,74.44083
142.375,83.96126
137.515,87.622215
130.72,88.71165
146.06,108.71219
170.61,123.71183
173.23,124.47349
161.645,102.67946
151.38,90.83617
140.745,89.493256
110.415,73.31875
78.02,68.98441
73.53,67.96862
77.26,65.57569
73.105,71.36183
73.855,68.22446
82.255,69.65986
94.19,69.221535
121.605,83.64523
140.28,99.84402
145.565,110.537575
165.805,112.66986
180.095,106.79761
170.855,100.8756
151.57,106.10223
141.205,106.88431
139.85,114.829
138.96,112.12176
147.805,129.71918
156.245,148.50331
150.57,146.74066
146.37,127.82917
141.695,114.58411
132.77,105.04328
114.365,96.966835
90.245,93.75903
77.785,95.5543
70.29,96.11066
58.87,60.159267
51.565,61.043938
52.23,55.254475
60.555,57.36511
82.1,71.34237
110.445,86.338646
124.86,95.3201
126.12,100.21239
123.395,86.016655
120.13,81.3076
125.005,83.4303
126.285,89.14626
125.025,96.00034
126.87,95.99851
138.38,99.23584
152.175,132.64229
146.24,129.05934
136.875,119.82855
132.795,98.81289
128.165,89.622734
114.29,87.2515
95.435,80.250565
85.215,78.549866
79.22,80.21821
70.7,94.50759
