Ytrue,Yp
162.105,98.12477
146.96,95.69411
103.38,103.33391
67.76,83.90018
61.5,93.07633
48.445,62.99769
37.425,67.259514
37.215,67.281715
41.805,89.28877
62.295,104.581474
91.165,124.20025
125.21,130.52385
152.065,112.2159
154.305,98.888275
149.08,91.823
148.575,87.437065
149.32,80.22517
149.43,87.37408
149.995,103.38258
158.96,126.38088
169.14,143.90535
160.855,139.2242
143.77,125.78705
127.53,108.6668
111.52,92.89721
82.8,86.49326
75.13,81.68729
81.06,73.41945
69.935,74.85846
59.155,67.44793
50.115,65.85806
47.605,68.332184
46.71,85.903564
52.92,99.4763
63.23,107.63871
78.785,115.13549
103.835,105.040184
130.0,93.568115
147.965,95.95096
161.455,100.026985
178.97,93.72642
181.98,101.51019
176.265,118.65796
167.49,131.01427
153.395,155.93015
143.745,171.41881
136.04,148.001
122.685,122.86314
109.15,108.66772
90.37,102.751724
71.7,94.24771
68.935,88.67782
62.955,83.57824
41.345,54.375584
22.69,53.39353
15.225,59.32151
8.325,69.81171
14.295,87.0302
36.375,103.386955
57.84,115.099655
58.165,95.17301
59.65,80.561935
74.34,73.57161
81.53,69.80534
90.505,71.82223
98.28,72.410065
109.825,82.30282
141.755,105.29345
171.215,130.90305
174.11,137.85637
145.11,121.63194
116.075,99.42926
104.5,81.75087
94.555,81.427284
86.8,70.07449
85.895,70.00902
88.79,67.46394
90.17,57.892265
90.8,57.48726
93.945,62.25327
109.4,77.02221
134.34,105.06416
148.475,119.74066
156.91,119.14287
163.35,100.40055
163.36,80.472595
155.46,72.32461
144.965,67.01511
141.135,66.38119
142.1,64.55628
148.335,84.39446
157.485,109.17665
165.34,123.89755
162.05,132.19368
151.67,114.14242
136.465,87.97775
117.71,71.46542
97.225,70.378235
60.17,70.37477
29.555,61.183807
20.78,58.1938
13.825,37.07293
10.385,36.395977
12.255,37.99083
29.59,65.62949
70.48,80.04264
103.93,93.068565
136.485,104.958336
172.89,87.79074
190.8,74.21477
191.56,68.98116
186.73,70.82749
177.82,77.8203
164.16,74.70027
156.89,92.029076
157.115,97.96576
162.765,121.18487
152.44,126.31086
143.67,93.17258
138.855,84.40587
106.85,70.76703
65.58,63.579277
22.675,54.14556
-3.37,47.64416
-8.315,41.75325
-19.86,38.261044
-33.485,32.11078
-41.91,47.089905
-44.385,72.71721
-30.455,75.579185
-6.74,93.60113
17.345,92.413704
46.32,68.44586
74.765,67.76918
83.46,56.09378
82.385,56.016018
86.295,60.02033
88.69,69.80328
87.165,76.466324
106.41,88.47739
144.215,113.7892
157.535,119.17627
142.55,92.21325
117.41,86.83448
89.38,76.335045
54.93,62.427593
34.58,59.355213
25.45,48.831978
18.06,46.85832
11.835,46.527958
4.745,42.833916
1.665,47.37159
2.14,63.592945
12.555,80.78227
30.69,93.02291
45.145,88.39926
88.97,81.80418
147.99,67.455345
166.785,66.04617
171.56,59.48838
166.095,66.91779
144.05,68.95043
119.375,71.29511
119.53,91.39033
140.41,112.97252
137.62,114.61289
123.515,106.649055
86.36,90.23272
38.1,81.41526
16.28,70.70768
9.075,71.645584
21.96,56.471462
33.06,65.01181
30.76,58.6908
35.92,52.044727
31.755,58.945908
42.725,65.829475
71.205,81.59402
62.575,88.64015
82.23,105.05765
140.0,99.630424
161.24,92.29633
170.04,91.73817
185.525,88.687
189.82,94.09331
182.6,98.67476
178.63,100.117455
193.45,119.06964
214.11,137.87468
207.61,135.18517
188.115,120.284386
168.065,100.02421
159.015,94.475815
143.865,86.10943
69.525,87.05823
19.825,78.22686
28.27,73.82744
18.21,60.612766
2.495,55.5247
-0.115,53.858414
-0.575,62.84268
-0.075,73.63309
4.735,91.34296
22.895,106.495384
67.115,102.11963
117.07,87.68144
135.075,88.12777
141.58,87.50371
153.885,89.606575
160.465,90.41631
148.605,92.87172
152.47,111.43728
179.36,136.50937
184.49,140.47478
170.84,115.733826
155.315,104.34174
149.77,95.809105
138.515,86.36412
138.81,84.66227
162.905,75.780304
178.915,73.99173
170.235,129.90591
150.7,129.46542
132.94,138.23502
125.01,144.2523
134.66,168.03651
133.785,169.8119
133.73,171.57312
151.545,182.74643
160.58,161.28252
163.43,157.07944
164.91,162.59308
164.62,166.7068
164.395,168.315
159.235,173.50365
179.675,199.78818
224.655,221.4984
230.395,217.33522
199.02,185.1884
169.35,172.89456
164.405,158.86787
153.305,138.58672
154.37,151.36668
168.125,140.8422
156.935,138.74538
127.525,117.0666
96.915,113.74555
95.895,107.55297
109.825,134.3895
134.755,164.40276
147.99,201.52367
151.54,201.5289
159.47,182.6911
162.03,165.1977
159.115,155.28069
155.21,157.23697
155.23,161.66196
157.675,164.32983
156.8,188.13065
158.965,204.93488
163.33,223.1858
154.965,215.98218
154.57,183.60657
155.91,141.11427
133.415,120.92781
102.935,113.6972
75.105,115.79231
54.4,108.93225
37.45,105.76542
18.955,57.82465
8.28,55.287014
7.675,53.53509
21.88,63.956135
59.225,81.27547
102.26,97.033165
128.7,101.12254
140.925,95.38244
145.07,86.76401
141.59,85.58532
140.435,83.42177
142.375,82.121864
137.515,82.17285
130.72,95.55776
146.06,110.025894
170.61,129.67805
173.23,132.94293
161.645,114.594376
151.38,96.1698
140.745,79.16519
110.415,77.41895
78.02,68.715965
73.53,63.014484
77.26,58.80413
73.105,71.055504
73.855,66.93789
82.255,71.464905
94.19,102.96616
121.605,144.4307
140.28,160.46407
145.565,176.13696
165.805,153.2218
180.095,139.09996
170.855,130.78185
151.57,122.060936
141.205,124.819214
139.85,123.927414
138.96,130.98853
147.805,148.47778
156.245,168.75507
150.57,176.30383
146.37,147.01764
141.695,110.941925
132.77,97.373955
114.365,94.76556
90.245,97.1385
77.785,83.648865
70.29,90.52362
58.87,65.52635
51.565,63.7361
52.23,57.954414
60.555,64.284775
82.1,77.969025
110.445,85.68508
124.86,104.896614
126.12,109.297966
123.395,116.92009
120.13,111.832565
125.005,121.2498
126.285,123.88816
125.025,132.09552
126.87,132.71878
138.38,146.79875
152.175,162.91618
146.24,159.23297
136.875,136.77759
132.795,118.03136
128.165,111.98093
114.29,99.10582
95.435,95.15596
85.215,93.84676
79.22,88.28996
70.7,66.038704
61.705,60.105133
58.34,58.36716
60.465,68.97783
70.85,81.833336
78.19,97.972
105.34,108.40749
139.1,108.59596
152.99,101.173485
160.78,101.5743
153.675,96.6088
143.305,101.64842
126.475,110.24283
111.105,114.47895
123.58,127.50303
148.415,145.21953
145.235,139.39899
119.645,118.217125
89.935,96.9592
64.41,89.45659
50.575,82.67406
33.995,82.18927
20.63,82.45154
16.585,75.18355
9.665,40.81596
3.165,43.364906
1.44,43.514145
1.61,51.38027
9.12,69.65877
19.42,86.35105
34.94,100.06058
53.18,95.28399
69.475,92.55677
85.375,90.52827
98.815,91.348175
116.23,94.50215
127.75,99.58413
130.08,100.616264
146.925,127.06921
175.58,142.92534
181.38,155.69977
163.995,139.12466
145.82,116.49921
138.56,105.61467
104.525,95.7164
73.35,91.148285
74.05,88.78775
68.905,84.18086
60.975,63.702812
54.45,62.99399
57.59,59.07477
76.805,77.204155
107.81,96.34039
134.325,101.53862
151.3,111.63757
157.08,109.85898
150.75,99.110306
141.285,93.1522
136.565,94.96686
136.765,95.42883
138.635,99.94178
140.29,102.59948
151.17,123.8087
171.86,145.66515
173.545,148.9841
156.74,115.89735
147.63,96.51764
136.87,82.8279
111.68,83.464
93.67,74.0443
88.78,70.01215
85.955,66.60769
83.7,76.2346
82.7,68.018585
87.48,68.43512
105.29,75.26191
133.09,93.98819
156.32,109.48983
165.895,115.692184
158.74,112.97653
148.265,108.337875
142.335,97.57546
138.255,93.578094
138.13,99.85449
138.525,94.980034
136.085,102.99656
139.69,120.153534
149.415,137.36046
149.53,137.76157
144.715,116.72056
133.6,99.02108
104.7,81.3446
72.01,86.837654
42.525,83.78828
24.16,76.34956
19.235,78.31557
14.245,51.619232
9.53,44.21135
10.44,41.38342
32.5,53.394188
68.96,71.83649
109.525,85.401566
137.165,90.3662
139.69,87.71289
133.635,83.50021
128.0,79.97288
127.855,78.814865
132.28,81.766266
136.515,85.34157
135.975,94.068436
148.3,104.78323
165.865,120.14686
169.915,126.90578
162.25,102.77511
144.89,89.32414
116.365,84.677635
82.155,75.69
46.77,66.850685
28.275,60.822006
28.665,62.487095
24.91,44.16556
23.18,38.595467
23.105,46.690533
35.815,62.29687
