Ytrue,Yp
275.035,253.49756
270.84,243.32425
273.27,250.28445
280.95,266.09912
323.9,308.96338
399.56,352.937
456.4,367.49127
474.39,381.4347
447.53,379.55142
418.53,369.84982
413.66,368.9357
414.665,363.24023
423.07,370.5951
430.89,372.8944
460.915,418.91165
504.87,463.8644
493.8,481.35526
448.035,427.00778
396.75,383.6089
355.49,335.75656
323.64,307.05887
288.88,290.63422
272.965,293.92407
267.29,278.8744
259.895,249.62814
253.08,234.35904
251.44,233.7118
257.195,257.2533
271.18,290.98187
287.365,325.47583
309.33,338.36774
338.875,335.93152
350.61,337.07645
340.61,322.2294
332.37,320.56396
331.76,316.13406
339.335,328.40344
358.24,337.3868
386.24,374.78128
413.3,409.38254
410.925,417.63928
375.815,398.66705
332.25,362.61673
305.29,326.9643
288.865,291.23477
282.81,268.94498
285.27,269.10596
278.725,256.7266
268.505,240.38164
259.865,223.13135
258.145,218.45482
260.48,215.92255
268.83,237.12329
265.63,243.47896
269.44,262.6428
301.36,284.89194
329.045,296.20773
338.54,299.63156
346.63,298.61087
356.605,298.1044
359.29,299.5068
364.265,288.25995
409.805,304.70883
474.68,369.09378
462.84,376.82297
397.32,359.5888
344.055,325.643
311.03,297.0138
292.685,278.08768
277.51,261.81094
269.365,263.35562
267.395,254.1563
264.31,248.16905
260.135,243.72226
260.61,244.75652
271.585,272.11365
348.835,323.7268
578.51,347.69562
792.645,361.48322
780.6,374.55057
656.645,361.66235
593.565,347.93668
598.01,354.06458
609.855,355.03467
611.36,348.51807
618.14,353.85843
1048.165,375.2114
1665.005,398.1673
1447.115,417.8053
830.81,401.25076
537.85,354.98676
412.16,313.95465
337.59,282.36206
286.145,268.1728
270.99,271.7187
263.635,264.4948
255.98,271.4776
251.55,264.5524
252.14,254.12225
268.435,296.50452
336.08,375.4433
418.705,441.7165
446.56,489.40085
445.915,513.02954
449.475,512.1888
444.295,505.46506
436.965,512.222
444.24,521.83685
455.88,533.75305
467.585,536.69116
511.135,568.0737
549.26,625.1813
505.38,584.58356
449.49,550.57074
404.385,455.69666
341.305,375.12112
291.65,334.55746
265.885,315.92468
256.79,323.78564
249.77,321.5771
245.49,241.29497
243.335,227.73094
244.72,221.57301
259.285,246.22859
313.015,292.40997
386.585,316.21674
436.01,343.92728
447.97,358.16235
435.355,353.0804
416.605,339.0748
407.43,338.3752
414.275,335.98788
423.05,329.48572
433.935,331.19705
470.015,352.06906
486.565,396.07953
456.03,387.88528
414.83,360.53204
366.035,314.26962
314.325,276.86258
271.71,243.65056
254.49,231.36792
248.87,235.01529
241.59,235.26604
236.495,234.36147
234.465,223.64896
238.585,226.42473
252.295,237.56836
299.465,282.23996
382.71,315.33127
429.035,340.31302
422.63,353.72238
410.255,356.37332
395.705,350.75336
385.355,356.6398
391.095,360.50186
406.86,349.54446
421.885,353.58536
449.445,372.57654
469.21,426.9251
459.05,444.05432
430.22,418.3322
382.64,377.4464
337.335,336.11212
302.97,306.56418
270.19,288.63025
251.635,282.01038
247.35,274.795
243.67,254.85114
241.96,243.07822
248.495,243.1592
277.045,266.4184
347.64,306.11725
426.13,342.74414
463.16,360.3738
464.55,367.21854
451.52,351.1534
431.795,337.547
415.375,335.11588
411.86,331.48026
420.56,330.36786
434.355,331.08676
455.905,363.54877
465.475,392.2606
445.705,395.71094
411.23,371.7248
362.105,328.05334
314.26,285.08453
282.9,260.76212
265.65,248.54765
250.535,250.61853
236.67,243.56677
224.77,198.8317
216.215,190.93834
214.59,182.17741
216.51,188.1764
228.255,212.58867
238.835,244.17418
252.305,263.7234
271.495,288.03778
277.045,285.0749
260.47,287.4948
241.72,285.86902
238.925,284.92444
243.745,271.35464
258.1,260.65274
287.965,276.24384
318.785,326.01547
326.115,331.513
296.255,305.1303
259.005,277.34903
244.565,243.91833
239.26,226.2104
261.505,211.82703
284.54,215.04959
266.905,211.02603
242.525,193.25977
218.71,182.44208
196.735,167.94406
188.115,180.75066
192.87,179.74644
199.065,190.97896
204.385,225.4906
211.965,227.69498
218.435,226.94409
222.825,222.0263
224.5,224.84474
222.17,218.48485
214.91,213.52509
214.065,200.62172
228.83,224.21994
246.14,256.06244
243.08,281.43024
229.53,256.62936
204.31,223.05977
184.175,211.6871
163.95,200.3185
121.81,192.88258
92.86,187.05008
80.54,190.0918
64.51,71.18078
50.975,72.07306
51.69,77.50104
78.865,104.509705
142.1,138.9019
191.39,164.6308
206.185,189.51361
212.33,196.21892
211.895,186.59633
211.175,179.3642
210.41,176.08264
209.0,183.31244
207.86,188.63994
207.58,190.13072
216.05,197.87074
223.29,222.88075
216.46,244.79494
206.75,233.40492
182.035,208.12257
154.86,176.3341
123.415,157.2784
102.95,151.60762
101.015,149.08804
88.21,131.71005
77.235,74.217575
69.685,70.150314
75.18,63.362648
107.64,81.93492
160.11,111.093735
202.465,146.80988
223.555,160.77777
231.19,169.80832
229.72,174.39386
221.155,165.11827
213.335,165.1045
221.17,172.72272
229.42,170.6109
230.205,162.60236
238.62,176.63866
253.665,211.67636
251.37,224.08937
233.94,199.15227
220.755,169.4829
209.205,145.6885
191.895,136.21587
164.94,129.33205
145.545,126.00801
134.09,119.44522
126.19,111.39939
124.72,103.963844
131.14,104.80075
149.915,117.388336
172.06,140.26334
193.81,165.1529
207.555,175.61163
207.755,181.45204
201.465,177.74039
194.21,172.48103
186.52,172.88739
186.51,170.85992
188.405,167.38377
189.5,166.41812
206.115,177.11626
218.405,207.8602
213.56,218.78894
204.415,209.80994
188.9,179.56497
178.245,161.8999
167.605,145.74638
153.255,143.2604
158.05,137.74966
170.155,136.41113
160.24,137.4325
145.035,132.22792
145.495,131.03857
165.75,151.5533
191.68,177.70825
194.875,200.3858
199.45,206.25894
206.75,214.28708
206.355,208.6001
208.615,209.06538
219.33,210.33073
230.84,207.44702
235.335,210.41759
233.95,215.5642
257.67,234.55063
292.05,271.87476
286.855,282.41827
256.86,264.05667
214.98,235.27391
207.03,208.93314
203.885,190.9495
178.075,179.88771
172.16,176.37807
169.09,168.868
156.82,148.36937
144.0,140.06166
140.905,134.40744
154.775,155.66124
173.425,176.74802
184.03,195.67719
193.755,208.67278
203.14,212.26143
207.69,200.82382
201.795,192.75693
187.365,189.61966
178.485,186.08571
172.66,182.68259
163.855,178.70566
169.705,188.5573
180.755,214.47513
177.065,229.66176
172.405,212.18274
169.075,185.20631
162.105,170.1494
146.96,151.81029
103.38,149.18893
67.76,143.06688
61.5,140.3834
48.445,66.38729
37.425,57.973312
37.215,52.287125
41.805,60.367138
62.295,85.4129
91.165,105.014885
125.21,118.56544
152.065,129.99135
154.305,130.16327
149.08,126.22388
148.575,129.36237
149.32,127.32881
149.43,126.62957
149.995,128.09991
158.96,133.8269
169.14,157.02417
160.855,158.92802
143.77,137.85364
127.53,120.82862
111.52,114.916336
82.8,98.460945
75.13,92.199265
81.06,91.25591
69.935,87.19147
59.155,43.278988
50.115,33.916103
47.605,29.22599
46.71,29.430841
52.92,49.901146
63.23,69.26729
78.785,95.460396
103.835,114.228836
130.0,121.07626
147.965,125.17829
161.455,124.8263
178.97,125.67695
181.98,121.81479
176.265,114.4562
167.49,120.25289
153.395,144.72949
143.745,145.87575
136.04,138.28758
122.685,120.040306
109.15,108.24755
90.37,94.43836
71.7,91.58266
68.935,87.58774
62.955,85.084854
41.345,48.596653
22.69,45.85439
15.225,46.558758
8.325,63.236935
14.295,81.49578
36.375,109.682365
57.84,116.145096
58.165,122.54044
59.65,114.47926
74.34,113.39844
81.53,110.05506
90.505,108.04985
98.28,107.889626
109.825,113.52044
141.755,127.671165
171.215,147.98761
174.11,154.31242
145.11,148.95212
116.075,133.15454
104.5,112.12634
94.555,100.03101
86.8,98.30207
85.895,89.148415
88.79,87.17002
90.17,72.48822
90.8,69.22823
93.945,69.127075
109.4,81.08281
134.34,106.77696
148.475,120.53627
156.91,130.0698
163.35,121.93493
163.36,113.35085
155.46,109.64764
144.965,104.14866
141.135,99.1162
142.1,94.47602
148.335,103.18332
157.485,118.42436
165.34,128.59174
162.05,132.83716
151.67,121.72687
136.465,113.68762
117.71,100.01089
97.225,94.576775
60.17,90.448296
29.555,88.67932
20.78,86.01182
13.825,48.024693
10.385,46.03772
12.255,39.767494
29.59,56.925114
70.48,83.58651
103.93,105.714035
136.485,119.379745
172.89,122.55522
190.8,125.09041
191.56,114.6841
186.73,112.651215
177.82,103.5798
164.16,116.209045
156.89,110.56756
157.115,130.96783
162.765,146.28601
152.44,153.43312
143.67,125.93238
138.855,106.156815
106.85,91.656364
65.58,85.19991
22.675,82.05895
-3.37,81.02692
-8.315,72.67573
-19.86,48.092632
-33.485,44.051594
-41.91,39.711983
-44.385,45.017593
-30.455,54.012817
-6.74,73.46845
17.345,83.15674
46.32,84.85827
74.765,87.36404
83.46,84.16022
82.385,86.13912
86.295,81.612305
88.69,81.89648
87.165,81.844574
106.41,100.13285
144.215,111.137024
157.535,120.89601
142.55,112.30926
117.41,96.481224
89.38,88.39333
54.93,72.106766
34.58,72.855156
25.45,71.33903
18.06,63.82928
11.835,33.217106
4.745,29.389687
1.665,27.569109
2.14,34.94055
12.555,42.334087
30.69,57.6717
45.145,68.16835
88.97,74.68635
147.99,78.64521
166.785,74.312874
171.56,73.71847
166.095,70.02793
144.05,69.763565
119.375,74.84606
119.53,89.5721
140.41,103.35843
137.62,107.386696
123.515,96.77206
86.36,89.60188
38.1,83.55301
16.28,74.59983
9.075,69.340996
21.96,64.95643
33.06,63.9822
30.76,44.26029
35.92,37.228836
31.755,31.835352
42.725,40.928097
71.205,48.858467
62.575,65.62399
82.23,79.50359
140.0,83.68633
161.24,93.35065
170.04,88.42277
185.525,95.579704
189.82,87.833595
182.6,85.880806
178.63,90.79246
193.45,99.787766
214.11,115.679924
207.61,120.21565
188.115,115.576744
168.065,99.531334
159.015,89.38703
143.865,77.6158
69.525,77.430275
19.825,75.93904
28.27,78.02033
18.21,52.000984
2.495,49.45762
-0.115,47.26757
-0.575,49.20051
-0.075,61.75991
4.735,73.23321
22.895,85.966095
67.115,94.9645
117.07,94.2703
135.075,100.55249
141.58,97.85345
153.885,97.37033
160.465,92.16382
148.605,93.64743
152.47,109.7152
179.36,126.70791
184.49,141.78778
170.84,141.12277
155.315,125.498856
149.77,115.42577
138.515,108.73446
138.81,106.660355
162.905,103.87131
178.915,99.243484
170.235,137.81914
150.7,135.56062
132.94,142.76845
125.01,156.16154
134.66,181.51929
133.785,210.52275
133.73,209.37218
151.545,205.56532
160.58,198.78004
163.43,199.93709
164.91,182.78328
164.62,191.22813
164.395,194.14828
159.235,208.39381
179.675,230.3049
224.655,260.05972
230.395,258.78177
199.02,252.38147
169.35,222.44156
164.405,192.99265
153.305,172.12105
154.37,166.81615
168.125,163.37582
156.935,156.80478
127.525,126.15614
96.915,119.11135
95.895,116.00974
109.825,129.05846
134.755,147.73083
147.99,165.47342
151.54,180.05786
159.47,176.9637
162.03,166.98419
159.115,154.54251
155.21,152.90862
155.23,145.43973
157.675,133.9171
156.8,142.05786
158.965,154.78699
163.33,172.38644
154.965,176.3689
154.57,163.28404
155.91,145.34991
133.415,133.84169
102.935,127.456955
75.105,122.86366
54.4,123.283226
37.45,119.97162
18.955,59.1683
8.28,51.544147
7.675,50.42247
21.88,53.145355
59.225,75.04257
102.26,86.50807
128.7,101.89209
140.925,122.6469
145.07,117.15025
141.59,128.50331
140.435,126.457794
142.375,125.691444
