Ytrue,Yp
169.075,189.78282
162.105,160.47702
146.96,154.43375
103.38,152.20795
67.76,143.38748
61.5,140.15811
48.445,75.73317
37.425,72.57775
37.215,74.04836
41.805,86.35221
62.295,105.55935
91.165,120.17935
125.21,125.22649
152.065,119.10846
154.305,108.02691
149.08,101.0607
148.575,99.12577
149.32,99.300575
149.43,103.245766
149.995,110.510475
158.96,135.42053
169.14,157.56436
160.855,159.26376
143.77,138.17764
127.53,122.21312
111.52,109.181335
82.8,102.41034
75.13,92.61559
81.06,86.554665
69.935,87.89611
59.155,81.33212
50.115,79.33697
47.605,81.30196
46.71,91.23907
52.92,114.42797
63.23,121.97602
78.785,126.278725
103.835,124.01817
130.0,120.095894
147.965,114.84656
161.455,111.08237
178.97,112.28039
181.98,117.17071
176.265,127.51708
167.49,148.9438
153.395,177.32977
143.745,176.21852
136.04,152.51186
122.685,136.29785
109.15,123.606804
90.37,110.93674
71.7,112.08626
68.935,95.377525
62.955,100.65792
41.345,52.392666
22.69,52.668095
15.225,57.13756
8.325,69.929535
14.295,89.3792
36.375,100.65446
57.84,108.00182
58.165,99.467155
59.65,88.58533
74.34,82.28598
81.53,81.85302
90.505,83.8294
98.28,85.45276
109.825,92.21157
141.755,113.26387
171.215,134.40085
174.11,135.6131
145.11,120.040596
116.075,104.013245
104.5,94.85977
94.555,89.41867
86.8,80.89671
85.895,74.19792
88.79,75.04199
90.17,64.32302
90.8,64.882416
93.945,67.92299
109.4,78.620674
134.34,99.57591
148.475,109.53478
156.91,104.57413
163.35,87.771355
163.36,71.81748
155.46,65.06114
144.965,59.04692
141.135,55.154995
142.1,59.738426
148.335,73.72756
157.485,89.70491
165.34,112.20752
162.05,113.184265
151.67,95.18132
136.465,81.28844
117.71,72.597084
97.225,72.76895
60.17,67.11862
29.555,60.953278
20.78,59.398872
13.825,42.345734
10.385,38.300518
12.255,44.231544
29.59,59.984047
70.48,79.632034
103.93,94.44068
136.485,89.8231
172.89,77.19498
190.8,60.97388
191.56,56.351208
186.73,55.026066
177.82,55.724174
164.16,60.543365
156.89,64.82411
157.115,80.52501
162.765,105.13934
152.44,104.39851
143.67,86.76771
138.855,75.07359
106.85,68.40834
65.58,67.82819
22.675,58.961227
-3.37,48.969013
-8.315,48.902874
-19.86,27.654306
-33.485,22.388948
-41.91,31.151829
-44.385,52.83494
-30.455,68.79722
-6.74,81.986984
17.345,86.3971
46.32,67.730934
74.765,58.731686
83.46,44.935154
82.385,47.866093
86.295,56.31857
88.69,57.51239
87.165,68.79559
106.41,78.04374
144.215,90.64983
157.535,97.77625
142.55,88.17166
117.41,79.09001
89.38,66.987595
54.93,67.36354
34.58,53.614937
25.45,48.519627
18.06,47.71537
11.835,51.59699
4.745,45.227325
1.665,51.855057
2.14,63.923256
12.555,71.58397
30.69,85.50623
45.145,96.6184
88.97,93.52774
147.99,83.0554
166.785,83.785645
171.56,80.29246
166.095,91.07276
144.05,94.10876
119.375,99.02332
119.53,109.711334
140.41,134.96489
137.62,128.15201
123.515,110.67639
86.36,105.3735
38.1,97.09096
16.28,87.11124
9.075,81.58065
21.96,72.29284
33.06,70.61237
30.76,58.561317
35.92,51.332394
31.755,49.756237
42.725,55.46541
71.205,67.41423
62.575,79.67427
82.23,88.19202
140.0,85.72161
161.24,81.131645
170.04,77.272964
185.525,78.18512
189.82,80.88827
182.6,88.969955
178.63,89.812485
193.45,99.146706
214.11,116.31015
207.61,114.75042
188.115,105.599495
168.065,92.09812
159.015,89.85944
143.865,82.95072
